Date,AFG,AGO,ARE,ARG,ARM,AZE,BDI,BEN,BFA,BGD,BLZ,BOL,BRA,BTN,BWA,CAF,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,DJI,DOM,DZA,ECU,EGY,ERI,ETH,GAB,GEO,GHA,GIN,GMB,GNB,GNQ,GTM,GUF,GUY,HND,HTI,IDN,IND,IRN,IRQ,KAZ,KEN,KGZ,KHM,KOR,LAO,LBR,LKA,MAR,MDG,MEX,MLI,MMR,MOZ,MRT,MWI,MYS,NAM,NER,NGA,NIC,NPL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PNG,PRK,PRY,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SOM,SSD,STP,SUR,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TUR,TZA,UGA,UZB,VEN,VNM,VUT,YEM,ZAF,ZMB,ZWE
2010,165.0,12185.0,,0.0,0.0,0.0,4701.0,9282.0,37944.0,166.0,0.0,10.0,76.0,2.0,8.0,5592.0,19.0,32193.0,12439.0,85123.0,1854.0,42.0,92.0,1.0,0.0,2.0,15.0,1.0,0.0,0.0,161.0,18953.0,363.0,0.0,16891.0,13854.0,563.0,874.0,602.0,0.0,1.0,52.0,3.0,217.0,3209.0,30539.0,0.0,0.0,0.0,9664.0,0.0,644.0,1.0,109.0,2750.0,0.0,0.0,2441.0,0.0,19905.0,3623.0,23849.0,642.0,11179.0,13.0,63.0,26267.0,199233.0,1.0,6.0,0.0,699951.0,1616.0,1.0,20.0,113.0,2354.0,0.0,0.0,3002.0,0.0,2705.0,1953.0,163.0,14295.0,0.0,1264.0,6835.0,14.0,1.0,8.0,0.0,13325.0,4043.0,80.0,0.0,0.0,194.0,0.0,21418.0,25736.0,0.0,53.0,34.0,27.0,2866.0,83.0,6353.0,2810.0
2011,192.0,11524.0,,0.0,0.0,0.0,4751.0,8511.0,36043.0,155.0,0.0,4.0,70.0,1.0,8.0,5569.0,33.0,26496.0,11870.0,78483.0,1885.0,23.0,62.0,1.0,0.0,5.0,10.0,0.0,0.0,0.0,141.0,16705.0,392.0,0.0,17163.0,14505.0,665.0,868.0,614.0,0.0,2.0,72.0,2.0,208.0,2875.0,25714.0,0.0,0.0,0.0,10091.0,0.0,641.0,2.0,73.0,3029.0,0.0,0.0,2091.0,0.0,22149.0,3214.0,23455.0,662.0,10264.0,11.0,36.0,31339.0,183768.0,1.0,2.0,0.0,661813.0,1814.0,0.0,19.0,47.0,2032.0,0.0,0.0,2977.0,0.0,2746.0,1602.0,108.0,14007.0,0.0,1052.0,6837.0,19.0,1.0,1.0,0.0,12758.0,4021.0,43.0,0.0,0.0,65.0,0.0,21003.0,23537.0,0.0,47.0,30.0,14.0,2015.0,54.0,6666.0,1848.0
2012,92.0,11144.0,0.0,0.0,0.0,0.0,5030.0,8246.0,31360.0,85.0,0.0,4.0,60.0,1.0,3.0,6239.0,0.0,15435.0,12071.0,64511.0,1914.0,24.0,125.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,85.0,19975.0,400.0,0.0,16573.0,14478.0,692.0,861.0,653.0,0.0,2.0,76.0,1.0,167.0,2837.0,20478.0,0.0,0.0,0.0,10203.0,0.0,383.0,0.0,174.0,2952.0,0.0,0.0,4105.0,0.0,23378.0,3412.0,23302.0,669.0,9345.0,11.0,4.0,29168.0,172012.0,2.0,1.0,0.0,616532.0,1703.0,1.0,24.0,35.0,2739.0,0.0,0.0,2955.0,0.0,2848.0,1807.0,89.0,12766.0,0.0,1090.0,6641.0,7.0,0.0,3.0,0.0,12498.0,4402.0,37.0,0.0,0.0,9.0,0.0,20796.0,22473.0,0.0,56.0,33.0,0.0,2197.0,72.0,6979.0,1516.0
2013,129.0,11219.0,0.0,0.0,0.0,0.0,5113.0,8439.0,26341.0,77.0,0.0,6.0,40.0,0.0,7.0,4177.0,0.0,10708.0,12222.0,57471.0,2029.0,10.0,135.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,88.0,26216.0,398.0,0.0,15618.0,13268.0,676.0,859.0,720.0,1.0,3.0,90.0,1.0,160.0,2446.0,16679.0,0.0,0.0,0.0,10297.0,0.0,231.0,0.0,125.0,2951.0,0.0,0.0,3795.0,0.0,23614.0,1169.0,23764.0,682.0,8372.0,10.0,21.0,31459.0,163867.0,0.0,0.0,0.0,588145.0,1165.0,0.0,45.0,36.0,3452.0,0.0,0.0,2954.0,0.0,3081.0,2070.0,83.0,11459.0,0.0,1339.0,6830.0,11.0,1.0,4.0,0.0,12385.0,4930.0,47.0,0.0,0.0,3.0,0.0,22043.0,18788.0,0.0,105.0,28.0,0.0,1786.0,105.0,7459.0,2211.0
2014,152.0,11615.0,0.0,0.0,0.0,0.0,5249.0,8848.0,24153.0,160.0,0.0,4.0,36.0,0.0,22.0,5838.0,0.0,9562.0,12229.0,60156.0,2030.0,17.0,5.0,1.0,0.0,28.0,4.0,0.0,0.0,0.0,227.0,22554.0,392.0,0.0,14384.0,12703.0,619.0,851.0,778.0,1.0,0.0,27.0,2.0,84.0,1895.0,20029.0,0.0,0.0,0.0,10393.0,0.0,399.0,0.0,134.0,3295.0,0.0,0.0,3048.0,0.0,21886.0,729.0,23197.0,724.0,7737.0,4.0,61.0,30698.0,165886.0,0.0,0.0,0.0,585210.0,725.0,0.0,60.0,30.0,3142.0,0.0,0.0,2959.0,0.0,3497.0,1414.0,56.0,10635.0,0.0,1607.0,6984.0,0.0,1.0,4.0,0.0,12692.0,5123.0,38.0,0.0,0.0,1.0,0.0,22996.0,17748.0,0.0,110.0,23.0,0.0,1510.0,174.0,8037.0,2798.0
2015,174.0,12090.0,0.0,0.0,0.0,0.0,5437.0,10069.0,21478.0,105.0,0.0,3.0,35.0,0.0,5.0,4335.0,0.0,9667.0,12214.0,60443.0,2018.0,18.0,4.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,128.0,21355.0,392.0,0.0,13260.0,12092.0,664.0,838.0,781.0,1.0,0.0,22.0,0.0,82.0,1651.0,14904.0,0.0,0.0,0.0,10423.0,0.0,374.0,0.0,80.0,3423.0,0.0,0.0,6724.0,0.0,18935.0,481.0,21866.0,751.0,7341.0,4.0,32.0,32906.0,169052.0,1.0,0.0,0.0,578297.0,765.0,0.0,70.0,63.0,1860.0,0.0,0.0,2996.0,0.0,3948.0,2512.0,57.0,10553.0,0.0,1959.0,7388.0,0.0,0.0,5.0,0.0,12898.0,5151.0,33.0,0.0,0.0,0.0,0.0,23244.0,15762.0,0.0,150.0,12.0,0.0,1330.0,110.0,8015.0,2731.0
2016,351.0,12961.0,0.0,0.0,0.0,0.0,5779.0,11244.0,18145.0,72.0,0.0,2.0,35.0,0.0,3.0,4839.0,0.0,9766.0,12120.0,66971.0,2071.0,36.0,3.0,1.0,0.0,30.0,1.0,0.0,0.0,0.0,198.0,15631.0,397.0,0.0,12293.0,11417.0,615.0,855.0,785.0,0.0,0.0,25.0,0.0,92.0,1893.0,15186.0,0.0,0.0,0.0,10483.0,0.0,204.0,0.0,32.0,3984.0,0.0,0.0,4088.0,0.0,17286.0,274.0,20963.0,988.0,7092.0,2.0,65.0,35085.0,171827.0,2.0,3.0,0.0,576729.0,844.0,0.0,69.0,38.0,2568.0,0.0,0.0,3053.0,0.0,4527.0,1751.0,103.0,9480.0,0.0,2031.0,7391.0,1.0,0.0,3.0,0.0,13116.0,4642.0,27.0,0.0,0.0,0.0,0.0,23354.0,15637.0,0.0,261.0,6.0,0.0,1721.0,34.0,7930.0,1947.0
2017,378.0,13849.0,0.0,0.0,0.0,0.0,5911.0,11265.0,17134.0,73.0,0.0,2.0,34.0,0.0,17.0,4978.0,0.0,10298.0,11922.0,68597.0,2107.0,19.0,9.0,2.0,0.0,26.0,1.0,0.0,0.0,0.0,221.0,12133.0,406.0,0.0,11522.0,11460.0,594.0,855.0,778.0,0.0,0.0,34.0,1.0,84.0,1306.0,11085.0,0.0,0.0,0.0,10664.0,0.0,336.0,0.0,21.0,4383.0,0.0,0.0,5114.0,0.0,16903.0,209.0,19817.0,784.0,7024.0,1.0,57.0,31978.0,177176.0,1.0,0.0,0.0,574401.0,641.0,0.0,64.0,36.0,2510.0,0.0,0.0,3107.0,0.0,5213.0,2062.0,137.0,8961.0,0.0,2084.0,7823.0,1.0,1.0,20.0,0.0,13345.0,3858.0,15.0,0.0,0.0,0.0,0.0,23157.0,15802.0,0.0,424.0,7.0,0.0,1947.0,301.0,7892.0,3424.0
2018,292.0,14399.0,0.0,0.0,0.0,0.0,6418.0,10715.0,16604.0,26.0,0.0,2.0,56.0,0.0,9.0,4035.0,0.0,11026.0,11779.0,77570.0,2233.0,9.0,38.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,196.0,6500.0,417.0,0.0,11103.0,11592.0,600.0,842.0,752.0,0.0,0.0,39.0,1.0,40.0,1142.0,6650.0,0.0,0.0,0.0,10789.0,0.0,265.0,0.0,23.0,4482.0,0.0,0.0,4884.0,0.0,16287.0,164.0,18980.0,605.0,6921.0,0.0,58.0,32934.0,181095.0,3.0,0.0,0.0,574295.0,511.0,0.0,48.0,25.0,2571.0,0.0,0.0,3143.0,0.0,5882.0,2682.0,111.0,8620.0,0.0,2231.0,7642.0,0.0,0.0,2.0,0.0,13611.0,3558.0,15.0,0.0,0.0,0.0,0.0,23280.0,15254.0,0.0,373.0,1.0,0.0,2304.0,69.0,8046.0,1697.0
2019,170.0,15253.0,0.0,0.0,0.0,0.0,6477.0,10732.0,16283.0,47.0,0.0,4.0,37.0,0.0,7.0,4001.0,0.0,11329.0,11458.0,75254.0,2230.0,3.0,45.0,0.0,0.0,97.0,4.0,0.0,0.0,0.0,437.0,5708.0,420.0,0.0,11116.0,10898.0,598.0,846.0,739.0,0.0,0.0,30.0,0.0,45.0,1395.0,5411.0,0.0,0.0,0.0,10883.0,0.0,102.0,0.0,11.0,4407.0,0.0,0.0,5004.0,0.0,13982.0,97.0,18096.0,471.0,6892.0,0.0,6.0,32319.0,181560.0,1.0,0.0,0.0,566918.0,544.0,0.0,35.0,31.0,2534.0,0.0,0.0,3139.0,0.0,6673.0,1720.0,161.0,7977.0,0.0,2329.0,7896.0,0.0,0.0,3.0,0.0,13294.0,3426.0,13.0,0.0,0.0,0.0,0.0,23560.0,15947.0,0.0,350.0,0.0,0.0,2215.0,79.0,8084.0,2003.0
2020,110.0,17198.0,0.0,0.0,0.0,,7289.0,10320.0,18937.0,15.0,0.0,6.0,51.0,0.0,11.0,4053.0,0.0,11551.0,13523.0,75025.0,2238.0,5.0,11.0,0.0,0.0,129.0,2.0,0.0,3.0,0.0,372.0,9424.0,427.0,0.0,11311.0,11118.0,610.0,954.0,790.0,0.0,0.0,25.0,0.0,104.0,1415.0,6155.0,0.0,0.0,,11384.0,0.0,27.0,0.0,7.0,4628.0,0.0,0.0,10281.0,0.0,16288.0,77.0,22295.0,516.0,7423.0,0.0,35.0,35694.0,200257.0,0.0,0.0,0.0,621900.0,454.0,0.0,23.0,33.0,2962.0,0.0,0.0,3186.0,0.0,7635.0,1847.0,124.0,9392.0,0.0,2375.0,7136.0,0.0,0.0,2.0,0.0,14082.0,3577.0,3.0,0.0,0.0,0.0,,24568.0,18514.0,0.0,196.0,0.0,0.0,2152.0,38.0,8556.0,2951.0
2021,91.0,20493.0,0.0,0.0,,0.0,7226.0,11115.0,16733.0,16.0,0.0,4.0,58.0,0.0,5.0,5107.0,,11248.0,12961.0,70300.0,2219.0,11.0,26.0,0.0,0.0,118.0,1.0,0.0,0.0,0.0,211.0,8041.0,428.0,,11373.0,10381.0,619.0,1027.0,795.0,0.0,,27.0,0.0,57.0,1412.0,6040.0,0.0,0.0,,11669.0,,10.0,0.0,6.0,3902.0,0.0,0.0,12640.0,0.0,14352.0,231.0,21201.0,499.0,7456.0,0.0,14.0,34234.0,190761.0,0.0,1.0,0.0,601774.0,460.0,0.0,17.0,22.0,2449.0,0.0,0.0,3263.0,0.0,7784.0,2410.0,165.0,8464.0,0.0,2464.0,6738.0,1.0,0.0,5.0,0.0,13801.0,3546.0,0.0,0.0,,0.0,,25155.0,17438.0,,155.0,0.0,0.0,2652.0,56.0,8734.0,876.0
2022,131.0,20286.0,0.0,0.0,0.0,0.0,7146.0,10942.0,16436.0,41.0,0.0,5.0,50.0,0.0,6.0,5101.0,0.0,11144.0,12779.0,70024.0,2236.0,16.0,52.0,0.0,0.0,81.0,0.0,0.0,1.0,0.0,316.0,10570.0,430.0,,11463.0,10283.0,626.0,1024.0,800.0,0.0,0.0,31.0,0.0,67.0,2036.0,3663.0,0.0,0.0,,11811.0,,9.0,0.0,3.0,3846.0,0.0,0.0,9121.0,0.0,14277.0,465.0,21094.0,599.0,7525.0,0.0,28.0,34802.0,187692.0,0.0,0.0,0.0,599626.0,3051.0,0.0,27.0,17.0,3398.0,0.0,0.0,3311.0,0.0,7868.0,2598.0,207.0,8194.0,0.0,2507.0,6700.0,0.0,0.0,4.0,0.0,13796.0,3527.0,0.0,0.0,,0.0,,25499.0,17538.0,,125.0,0.0,0.0,2402.0,29.0,8834.0,936.0
2023,202.0,16169.0,0.0,,,,6302.0,9928.0,16146.0,31.0,0.0,7.0,73.0,0.0,4.0,5052.0,,10771.0,11602.0,67464.0,2244.0,22.0,53.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,459.0,18567.0,433.0,,11464.0,10188.0,632.0,885.0,757.0,0.0,,42.0,0.0,60.0,1876.0,3461.0,0.0,0.0,,11478.0,,2.0,0.0,0.0,3541.0,0.0,0.0,15974.0,0.0,14203.0,660.0,17875.0,493.0,7376.0,0.0,23.0,35381.0,184689.0,0.0,0.0,0.0,596781.0,4956.0,0.0,20.0,33.0,3080.0,0.0,,3349.0,0.0,7974.0,3070.0,245.0,6635.0,0.0,2611.0,6671.0,0.0,0.0,7.0,,13707.0,3456.0,5.0,,,0.0,,25540.0,15945.0,,118.0,0.0,0.0,2474.0,64.0,8525.0,1627.0
