Date,AGO,ALB,ARG,ARM,AUS,AUT,BDI,BEL,BEN,BFA,BGR,BHR,BOL,BRA,BRB,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COL,CRI,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,FIN,FJI,FRA,GAB,GBR,GRC,GTM,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LAO,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MEX,MLT,MNG,MOZ,MRT,MUS,MYS,NAM,NER,NGA,NIC,NLD,NOR,NZL,PAN,PER,PHL,POL,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,SVK,SVN,SWE,SWZ,TGO,THA,TJK,TTO,TUN,TUR,TWN,TZA,UKR,URY,USA,VEN,ZAF,ZMB,ZWE
1964,,,,,0.8157366,0.6785751,,0.66807437,,0.9849912,,,1.279481,1.1847333,0.96063304,1.0725418,,0.8760317,0.8774538,1.1003736,0.25911936,1.4186081,1.3566502,1.0210873,1.0532126,0.3832488,,0.5518788,0.68200374,1.2912667,0.7485057,1.1734644,0.75901693,,0.55942595,,0.6069239,1.5304699,0.7744284,0.95796704,1.0879897,0.6545838,,,,0.81554914,0.7402725,0.35145304,3.446691,,0.6210974,0.8871668,0.87737924,1.3402978,2.3974004,0.75061363,,1.0728848,,0.45265692,,,0.78880644,,,0.9127121,,,0.98759264,,1.6811115,,,,,0.9095624,1.482885,1.4001645,1.0913337,1.3428359,,0.63827145,0.6778183,1.0440093,,1.6825875,1.2223016,,1.0067811,1.0334238,,0.49279097,,0.6086015,,,1.8322979,1.0297754,,,,,,0.6875762,,,0.768785,,1.3212464,0.6661614,1.2617277,0.2969131,1.0682025,,0.7771227,0.7284763,6.8814497,0.9509327,0.7589319,0.7298708
1965,,,,,0.80029607,0.6820375,,0.68189687,,0.9471492,,,1.283887,1.2137287,1.0109925,1.019467,,0.8886487,0.89043635,1.0667043,0.27840737,1.2776098,1.34551,0.99720746,1.1058061,0.4455628,,0.5677491,0.6790157,1.1102571,0.7425983,1.1577501,0.7828974,,0.5656686,,0.62197787,1.6198344,0.77215916,1.0258132,1.0835166,0.69017184,,,,0.8088714,0.69770914,0.3497601,3.6017306,,0.6325035,0.82313603,0.91516006,1.3515313,2.4699173,0.7489196,,1.0912589,,0.44783136,,,0.7830526,,,0.8905033,,,0.9584766,,1.6607481,0.46232346,,,,0.87197834,1.5088853,1.3765943,1.142031,1.1665393,,0.6521406,0.7012895,1.0591652,,1.7056282,1.2428749,,1.0436027,1.0581324,,0.5184827,,0.6060463,,,1.8478023,1.0406084,,,,,,0.69612926,,,0.7714314,,1.2496699,0.66686946,1.2397195,0.3205458,1.0454557,,0.77487797,0.74055064,6.938088,0.96290773,0.8159018,0.76288974
1966,,,,,0.81040305,0.7033238,,0.6892838,,0.9257486,,,1.3214331,1.2046589,0.99318594,1.0385195,,0.9100509,0.8969682,1.1163145,0.28367108,1.3232447,1.3356161,1.0098032,1.1169791,0.46137792,,0.57145065,0.6751874,1.1750189,0.73196495,1.0967723,0.80730027,,0.57001,,0.6354853,1.5136676,0.7796438,1.061268,1.1024086,0.6573382,,,,0.8152098,0.67487997,0.3434929,3.6730666,,0.65715545,0.85382277,0.9528143,1.3296076,2.3717859,0.7702099,,1.1776782,,0.4700329,,,0.7864785,,,0.8733302,,,0.9075692,,1.6521616,0.4913936,,,,0.831795,1.5344702,1.3702991,1.1240934,1.035197,,0.64861315,0.70727944,1.0632434,,1.7721857,1.2114189,,1.046612,1.0010264,,0.52584237,,0.58745235,,,1.8942504,1.07316,,,,,,0.6981448,,,0.79482436,,1.3122373,0.66418993,1.3118075,0.33177602,1.0685457,,0.81082743,0.75216025,6.6622443,0.97598773,0.882527,0.74394906
1967,,,,,0.815717,0.716562,,0.7080347,,0.9963898,,,1.3999729,1.223317,1.097975,1.1679355,,0.90624034,0.90330166,1.1365367,0.26099887,1.3035355,1.1474549,1.0100018,1.1362406,0.5074412,,0.57488626,0.70296025,1.157047,0.7532164,1.0780529,0.8089317,,0.57816637,,0.6556905,1.6915102,0.7862009,1.0932937,1.1061591,0.63640773,,,,0.8208452,0.71724015,0.3545075,3.7754815,,0.6378653,0.83635575,0.98054576,1.3087972,2.4245033,0.79083306,,1.1949841,,0.4611569,,,0.827014,,,0.8758604,,,0.92436945,,1.6410505,0.5081387,,,,0.87316906,1.5133309,1.3127435,1.1340691,0.8498286,,0.6699748,0.73074114,0.975575,,1.7736793,1.2023176,,1.107031,1.0344882,,0.5717938,,0.6474252,,,1.8461058,1.1167845,,,,,,0.7253992,,,0.7953018,,1.3148824,0.6475998,1.3099879,0.34068194,1.068477,,0.7819797,0.74877614,6.729899,1.0130574,0.98139524,0.7344042
1968,,,,,0.8387824,0.73725307,,0.732213,,1.0247507,,,1.1797324,1.2964331,1.1296192,1.2023717,,0.9435776,0.9149437,1.10142,0.24216083,1.413747,1.1849253,1.0279354,1.1856067,0.5198948,,0.5933562,0.7311595,1.1075472,0.75139356,1.1088881,0.8419246,,0.5845575,,0.6731094,1.7034712,0.82516235,1.1415119,1.1415104,0.63462377,,,,0.859926,0.7392256,0.37587255,3.8740947,,0.5968034,0.83032644,1.0210716,1.288279,2.173972,0.82188326,,1.1464101,,0.46347126,,,0.82793814,,,0.9103888,,,0.95881844,,1.6733806,0.534491,,,,0.74376875,1.545321,1.282934,1.1379445,0.82783115,,0.69713044,0.7400265,0.9598471,,1.7434856,1.2164047,,1.2336513,0.9998766,,0.58441556,,0.645894,,,1.9316524,1.1688145,,,,,,0.7400134,,,0.7964084,,1.3823574,0.68303645,1.3321427,0.34670436,1.0860051,,0.7892281,0.75899035,7.040355,1.0244793,0.9648854,0.63102245
1969,,,,,0.8627029,0.7676621,,0.75748307,,1.0183784,,,1.1964945,1.2927026,1.1839257,1.1361998,,0.95845735,0.9382877,1.0831367,0.252318,1.4247044,1.1888149,1.0482613,1.1962168,0.54683477,,0.61990273,0.7581673,1.1533716,0.7413727,1.1540056,0.88847935,,0.6236511,,0.7110494,1.8333478,0.8016505,1.2233453,1.1553172,0.67913324,,,,0.8438923,0.8038388,0.3882752,4.0576553,,0.6062565,0.91253144,1.057261,1.2932082,2.1035223,0.8537134,,1.1690941,,0.48815057,,,0.8526499,,,0.9809263,,,1.025245,,1.6449659,0.5411531,,,,0.75934494,1.5569444,1.2937042,1.0671518,0.925293,,0.72667277,0.76947546,1.0298419,1.260214,1.768882,1.238193,,1.2472086,0.9961674,,0.5981062,,0.7060424,,,1.7666538,1.201257,,,,,,0.7637425,,,0.7961226,,1.3893071,0.6921621,1.3438962,0.35406622,1.035365,,0.82213014,0.7541919,7.0933924,1.0372587,0.8569953,0.82421005
1970,,,,,0.85657823,0.8097643,,0.7941949,,1.0229405,,,1.1655548,1.3505076,1.2646465,1.118531,,0.97515285,0.96481246,1.0838146,0.26300448,1.4783313,1.2074862,1.0638461,1.2368686,0.547424,,0.6317424,0.7504506,1.2979121,0.76920176,1.3212116,0.8881843,,0.6481014,,0.7322356,1.9660938,0.8130377,1.2875297,1.1844224,0.7108897,1.3012626,,,0.8872527,0.81281686,0.38687444,2.3634691,,0.6307319,0.9881862,1.1448966,1.450073,1.7607933,0.8724994,,1.0703061,,0.51012325,,,0.8783396,0.8678381,,0.9645472,,,1.0358732,,1.6619692,0.59324896,,,,0.76033413,1.5618844,1.3388205,1.116771,1.0134437,,0.7558389,0.7656005,1.0037527,1.4199562,1.7948276,1.2494082,,1.3077083,1.0292087,,0.6305095,,0.7338943,,,1.8827598,1.2111284,,,,,,0.78230464,,,1.0114641,,1.4286891,0.8813792,1.3356258,0.36669707,1.0034795,,0.84175044,0.7507497,7.4952097,1.0622847,0.8231002,1.0005033
1971,,,,,0.8569385,0.81834215,,0.80608207,,0.9370385,,,1.1937213,1.4058207,1.3151366,1.1573421,,0.98233724,0.9761135,1.0930315,0.26268062,1.5262951,1.1999737,1.0718445,1.2329222,0.59741634,,0.64187074,0.7665499,1.353939,0.75916314,1.3329045,0.9009233,,0.6527064,,0.7464758,2.091902,0.8418683,1.3228056,1.1900073,0.707443,1.3045472,,,0.91079134,0.79210114,0.38719654,2.5604677,,0.67834836,1.0185435,1.1374329,1.4715343,1.6739116,0.8552816,,1.0716226,,0.52941656,,,0.83971447,0.76030576,,0.9399665,,,1.0397447,,1.6322293,0.58831173,,,,0.7544735,1.7410198,1.3450079,1.1756461,1.0762348,,0.77508515,0.78475076,1.002872,1.444669,1.7877057,1.2106967,,1.3342416,1.0434347,,0.6815374,,0.7166462,,,1.8243847,1.1673907,,,,,,0.7854697,,,0.9781752,,1.3719046,0.92747945,1.3442694,0.38528863,0.96741974,,0.8286998,0.763151,7.1301064,1.0714232,0.7893262,1.0577397
1972,,,1.3074709,,0.8552494,0.8286676,,0.8406908,,1.0992984,,,1.2431118,1.4688947,1.325236,1.1968058,,0.9964872,0.9840675,1.0276068,0.25727868,1.5017536,1.2000161,1.102926,1.2438734,0.6151003,,0.6571025,0.78247124,1.3931628,0.787422,1.3552796,0.93894464,,0.6810253,,0.7685897,2.2235858,0.8526623,1.3779777,1.216929,0.7326378,1.3312141,,,0.9553635,0.75543386,0.40534034,2.7294564,,0.70010936,1.0565143,1.1450809,1.57848,1.6686476,0.87280893,,1.0689269,,0.5328927,,,0.82423085,0.86906964,,0.9498263,,,1.0402981,,1.6629356,0.5997575,,,,0.77664363,1.7257051,1.3108124,1.1008506,1.068555,,0.78309435,0.80978316,1.0218021,1.3785152,1.7642392,1.2379481,,1.3635699,1.0594497,,0.71746814,,0.68576556,,,1.8699849,1.136906,,,,,,0.7991482,,,0.96493304,,1.4051857,1.0217369,1.3610709,0.40394396,0.96796745,,0.8065522,0.7731814,6.8065352,1.0516739,0.8259665,1.1089374
1973,,,1.3154576,,0.8602231,0.8385708,,0.87581336,,0.9920508,,,1.2625537,1.5080554,1.337419,1.2310787,,1.0049607,0.9943728,0.94632953,0.26276135,1.4895025,1.2154347,1.125802,1.2525231,0.6120362,,0.6763403,0.8048645,1.4640887,0.81000835,1.2955502,0.9665741,,0.7013782,,0.7924752,2.3275568,0.87790245,1.40695,1.2341601,0.77663636,1.3728815,,,0.9933219,0.7511153,0.4072884,2.7225776,,0.7160681,1.0391927,1.1785711,1.5538164,1.4667511,0.88380647,,1.065185,,0.5677002,,,0.8163955,1.0387709,,0.97660947,,,1.0395542,,1.6838223,0.59906393,,,,0.8167885,1.7397083,1.3051636,0.89445233,1.04281,,0.81721926,0.82417315,1.0589436,1.3500994,1.7659445,1.2650025,,1.4412373,1.0663224,,0.75663084,,0.678886,,,1.7115039,1.1418407,,,,,,0.81704307,,,0.96572644,,1.3927956,0.97119313,1.3316458,0.41232648,0.94498,,0.8029363,0.7823193,6.672369,1.0623432,0.77902424,1.0998031
1974,1.7650068,0.72851676,1.3285782,,0.84082097,0.8201372,,0.89297587,,0.9987916,2.289808,3.1553843,1.2775173,1.5362828,1.2825903,1.2232456,,0.9852107,0.9995499,0.9471971,0.2528657,1.4826422,1.2190753,1.1358007,1.2475785,0.5755069,,0.68159693,0.7892254,1.4605035,0.87142533,1.2519978,0.9809496,,0.7022043,,0.8107987,2.7724798,0.84308887,1.2770406,1.2590235,0.7548911,1.3031406,,0.7210437,1.0096617,0.7316336,0.41564748,2.673969,1.5926229,0.7222497,1.0709565,1.2022561,1.4510301,1.3820761,0.851964,,1.0649213,,0.57730395,10.050322,,0.81056464,1.0629978,,0.9716224,,,1.0669949,,1.667665,0.63142604,,,,0.85255384,1.6881433,1.3509607,0.96208715,1.1001283,,0.85248256,0.8323904,1.0611411,1.2944905,1.7960814,1.2468253,0.8046706,1.3457615,1.0873424,4.936359,0.8146448,,0.662753,10.724041,0.86457384,1.7375517,1.0915126,,,,,,0.8220235,,,0.9428431,,1.359099,1.004267,1.2995872,0.39538872,0.9274775,,0.82362044,0.76035523,6.585907,1.0990111,0.78000814,1.0918722
1975,1.5903429,0.733268,1.2834727,,0.8550736,0.8253026,,0.87585723,,0.9883744,2.2969909,2.747532,1.336066,1.5228122,1.3461258,1.2398468,,0.9779797,0.94649976,0.8088142,0.2575688,1.5318766,1.2314649,1.1035467,1.2015908,0.48252958,,0.68368244,0.79453653,1.447875,0.9267541,1.2196597,0.9676392,,0.7156594,,0.7949639,2.8152816,0.8289598,1.318746,1.2303954,0.71266633,1.2811203,,0.74409926,1.0095991,0.76802564,0.43461388,2.4125593,1.571359,0.7092341,1.0625579,1.1508464,1.4179242,1.2944295,0.85835576,,1.024211,,0.58218426,7.489849,,0.8018035,0.930968,,0.87146544,,,1.0519688,,1.6377773,0.72295064,,,,0.82118434,1.5630331,1.3403298,0.928914,1.0206776,,0.86076516,0.8434005,1.0047549,1.3036706,1.7728443,1.2300862,0.81774354,1.2408577,1.1095825,4.6180086,0.85778815,,0.62335277,9.017763,0.9527272,1.7977179,1.0568037,,1.9183844,,,,0.8245536,,,0.9408483,,1.3125972,1.0771421,1.3058957,0.40042752,0.94334346,,0.8567731,0.760535,6.3859134,1.089102,0.7527974,1.0714997
1976,1.435887,0.72734034,1.2541258,,0.85956657,0.8445588,,0.90676343,,0.9444864,2.2680256,3.125605,1.3530908,1.5784055,1.3257221,1.315521,,1.0089818,0.9429726,0.81123275,0.2396714,1.6158743,1.1196389,1.1052904,1.1832261,0.57234246,,0.7024203,0.8133657,1.4553747,0.9285763,1.2372462,0.98197824,,0.70762527,,0.79730636,3.1541367,0.8451535,1.3578434,1.2343351,0.77840066,1.3504332,,0.74602425,1.0214086,0.74873906,0.43348798,2.5073178,1.6501498,0.7275693,1.0259942,1.1937442,1.322657,1.373195,0.85430443,,1.0173537,,0.5978964,6.580527,,0.79254377,0.9991108,,0.88427335,,,1.0567609,,1.6078887,0.8014733,,,,0.9431652,1.5845602,1.3109295,0.9206576,0.9786567,,0.89147884,0.862835,0.99479693,1.2555614,1.7201563,1.2801288,0.85112613,1.2948935,1.1048129,4.556586,0.9142787,,0.7103424,8.587165,1.0695102,1.8929116,1.0508457,,1.8663536,,,,0.8114996,,,0.9706635,,1.2854174,1.0744019,1.3331566,0.42816657,0.9476394,,0.85702986,0.7748198,6.414106,1.0801388,0.761386,1.0337249
1977,1.3803774,0.7194942,1.2749014,,0.84629095,0.85776424,,0.9044855,,0.9771585,2.2413085,3.1054492,1.3770093,1.5162793,1.3774935,1.3968244,,1.0196917,0.96566194,0.85641825,0.24448805,1.5725826,1.1970239,1.0994699,1.1929257,0.6121554,,0.7165788,0.82283825,1.4370043,0.8917769,1.2189821,0.99603516,,0.7076014,,0.8143799,2.4358509,0.8489196,1.3501348,1.2423904,0.7995958,1.4127969,,0.76923496,1.0468296,0.7677709,0.4516564,2.2263305,1.5133443,0.78355473,0.9904105,1.2040926,1.2885356,1.3305341,0.8586505,,1.0525224,,0.60814685,5.04148,,0.78213793,1.0577999,,0.88180697,,,1.0183374,,1.5804163,0.85236925,,,1.2379369,0.9465507,1.5720297,1.2643075,0.9711933,0.9475796,,0.9017907,0.8685781,0.94453984,1.2466688,1.6733468,1.2756139,0.8738235,1.3023152,1.1276535,3.7839048,0.93899673,,0.7116648,7.4762635,1.1019053,1.794839,1.0603565,,1.8285388,,,,0.79554975,,,0.991099,,1.2954496,1.0425882,1.304917,0.4398595,0.8999512,,0.8335831,0.7790582,6.092035,1.0525018,0.72999823,0.947007
1978,1.2548442,0.71248573,1.1990423,,0.8578842,0.8562068,,0.9141377,,1.0526174,2.2054002,2.962502,1.3414111,1.5017396,1.4303024,1.4916098,,1.014814,0.9599012,0.8939933,0.2566754,1.5987766,1.3486574,1.143946,1.1794821,0.6229114,,0.72435874,0.8296272,1.383211,0.879788,1.1995429,1.019585,,0.7209756,,0.8457025,1.7819284,0.86612767,1.3976893,1.21384,0.7934267,1.4600679,,0.776308,1.0619543,0.7774637,0.46685064,1.811457,1.5657679,0.81055593,0.9900178,1.2132714,1.2747034,1.4018205,0.87068576,,1.077798,,0.59775686,4.647988,,0.8035668,1.1647562,,0.8959474,,,1.0008062,,1.612138,0.90216017,,,1.1343131,0.9244648,1.5414202,1.2548088,1.0714178,0.84956896,,0.9109448,0.88176864,0.90720135,1.2852916,1.5825129,1.2218297,0.87252706,1.2494704,1.1492355,3.75623,0.94802254,,0.7426686,6.0465508,0.99416083,1.629243,1.0503256,,1.8064754,,,,0.8120026,,,0.9914595,,1.3018318,1.0392913,1.2875353,0.46285063,0.8606269,,0.8407823,0.7827838,5.4378653,1.0571089,0.7145029,0.91218704
1979,1.2116674,0.7047344,1.2413998,,0.85460526,0.87155426,,0.9161389,,0.9799802,2.2159665,2.7568638,1.2968135,1.5610591,1.4140735,1.593593,,0.99670714,0.97043556,0.92704,0.25923637,1.5319095,1.346268,1.1545056,1.1537063,0.6438195,,0.7347187,0.84545463,1.3596365,0.8687232,1.2000396,1.033473,,0.7554893,,0.8566495,1.7084768,0.87871116,1.3857913,1.1950011,0.83384603,1.4475411,,0.76643425,1.0614159,0.7076668,0.45480412,1.5463324,1.7244017,0.8321369,1.0032022,1.2445995,1.2604599,1.5644374,0.88306886,,1.0594662,,0.59001946,4.7584033,,0.80268335,0.9407038,,0.90167135,,,1.0040791,,1.6333997,0.9462307,,,1.2294421,0.9082481,1.5290233,1.2625147,1.111184,0.7795865,,0.91047204,0.8992366,0.921994,1.2685993,1.5899503,1.2197056,0.8731861,1.2606839,1.1661294,3.6974754,0.9597907,,0.7713189,5.6998377,0.9101735,1.7242309,1.0571705,,1.684931,,,,0.8267032,,,0.9705185,,1.2654778,1.0415083,1.2363014,0.46325678,0.84616375,,0.8516547,0.77621984,5.1603413,1.0717229,0.6829273,0.933261
1980,1.2036531,0.69948125,1.2252141,,0.8445388,0.86218154,1.4348038,0.94416994,0.6711957,0.9434724,2.2017064,2.5352232,1.2556508,1.6601924,1.462247,1.6486408,1.1313311,0.97915924,0.99058795,0.9418257,0.26188275,1.3047929,1.4195187,1.1522499,1.1088623,0.64404136,,0.7292825,0.82467026,1.3909035,0.854983,1.1941075,1.0588853,,0.7718138,1.3900511,0.8555025,1.688378,0.8613261,1.3464046,1.182741,0.82814795,1.3921632,,0.7541165,1.0749665,0.7247725,0.46525633,1.1821752,1.5814967,0.84479547,0.9989215,1.2365365,1.1818916,1.6141133,0.8759907,,1.0678775,,0.5462171,3.445192,1.0355942,0.79588723,0.8467812,,0.8871456,,2.0929058,1.0038079,,1.6348104,0.9700379,0.7267648,,1.2208238,0.7903329,1.4678048,1.3085885,1.0490446,0.74029833,1.6824442,0.9147387,0.90652627,0.92698264,1.4006562,1.5825841,1.212184,0.7950819,1.2238305,1.1856434,3.4911458,0.9615009,,0.8121107,5.400818,0.8945576,1.6222597,1.058164,1.1503032,1.563414,,,,0.8215402,0.6165674,1.0260818,0.9268987,,1.3196555,1.0621723,1.180771,0.47144532,0.84592754,,0.86665004,0.76182324,4.5699253,1.1143252,0.70192814,0.99281543
