Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1978,,,,,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,6.9,,,2.14,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4372,,,,6.2,,,,,,,,,,,
1979,,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,6.8,,,2.2,,,,,,,,,,,,,,,,8.2,,,,,,5.5,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,
1980,,,4.2717,,2.8495,,8.3954,,12.3,11.2,9.7452,,9.4,1.4649,,0.2158,8.8506,3.3144,4.4048,4.8311,12.5461,,,,,8.5347,,,2.3631,1.5586,6.8,,3.4064,2.23,,,,,1.5641,,2.1869,3.3144,,,5.653,11.3,11.5,,,8.1,,,1.9072,2.0263,,5.4,12.1851,0.2955,15.6,2.8139,11.1,,,8.1,10.1708,,,,1.886,,6.2,5.7714,,,,4.021,1.3241,7.2348,0.7405,,,1.7561566,0.7697,9.0,1.4806,1.9464,14.8,6.7974,9.6,,1.2577,13.7,13.0934,,12.0114,,5.0947,8.536,1.7,4.1447,,,,,,2.944,,12.0664,,13.891,,,,12.0548,,,0.7,,5.1985,,,0.8571,,11.1972,1.0897,,3.1222,,,,,0.8662,,,,0.1756,,10.2,1.6203,10.6512,3.589925,0.5731,,,1.7089,,5.5444,5.6,,,,,,,8.7762,,1.528,,0.8907,,3.9565,,1.2145,,6.672,,,,8.9268,,6.9526,15.1,,,1.1045,,,1.5351,,10.4605,,3.4468,,2.1258,2.2,,1.3975,,12.1435,,6.0,9.1763,,0.3319,,3.4973,6.1794,4.4968,,,,3.0027
1981,0.2756,,4.1871,,2.8751,,8.5784,,12.2,,,,,1.1312,,0.2252,8.859,,,4.9228,,,,,,,2.9359,,,,6.9,,,2.25,,,,,,,,,,,5.7201,,,3.6105,,7.8,,,,2.0722,,5.4,,,,2.7461,11.1,,,,,,,,1.9717,,,,,,,4.1098,,7.3081,,,,1.7541121,0.7694,9.0,1.5156,1.8931,,6.7294,9.4,,1.2063,,13.2291,,12.1185,,4.7683,,,,,,,4.8255,,2.9376,,,,,,1.2282,,12.0821,,,,,5.1816,,,0.8576,,11.0289,,,,,2.2783,,,,,,,,,,1.6076,10.5951,,0.5693,,,,,,,,,,,,2.9396,8.7751,,1.4781,1.4582,0.8702,,3.908,5.6829,,,,,,,,,,,,,1.1458,,,,,,,3.5394,,,,,,1.5125,12.2533,,5.9,,,,,3.6961,,4.364,,,3.4822,
1982,,,4.1607,,,,8.6828,,12.1,,,,,,,,8.8867,,,4.9179,,,,,,,2.994,,,,6.8,,,2.26,,,,,,,,,,,,,,,,7.7,,,,,,5.4,,,,,11.0,,,,,,,,,,,,,,,,,7.4235,,,,,,8.8,,,,6.7666,9.1,,,,13.3115,,12.1033,,,,,,,,,,,,,,,,,,,12.0511,,,,,5.3646,,,,,,,,,,,,,,,,,,,,,,,,,,1.7135,,,,,,,,,,8.8107,,,,,,,,,,,,,,,,6.6795,,,,,,,,,,,,,,,,1.3658,,12.3578,,5.9,,,0.3704,,,,,,,,
1983,,,4.0862,,,,8.5481,,11.9,,,,,,,,8.8768,,,4.9047,,,,,,,,,,,6.8,,,2.29,,,,,,,,,,,,,,,,7.4,,,,,,5.2,,,,,10.8,,,,,,,,,,,,,,,,,7.4652,,,,,,8.6,,,,6.5435,8.9,,,,13.3694,,11.9365,,,,,,,,,,,,,,,,,,,12.0798,,,,,5.3383,,,,,,,,,,,,,,,,,,,,,,,,,,1.7147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4448,,5.8,,,0.3582,,,,,,,,
1984,,,4.139,,,,8.6601,,11.7,,,,,,,,8.963,,,4.8137,,,,,,,,,,,6.8,,,2.33,,,,,,,,,,,,,,,,7.1,,,,,,5.0,,,,,10.7,,,,,,,,,,,,,,,,,7.4466,,,,,,8.4,,,,6.4966,8.5,,,,13.5124,,11.9771,,,,,,,,,,,,,,,,,,,12.1435,,,,,5.4029,,9.4639,,,,,0.7676,,,,,,,,,,,,,,,,,,,1.7153,,4.9983,,,,,,,,8.8958,,,,,,,,,,6.82,,,,,,6.501,,,,,,,,,,,,,,,,1.3031,,12.591,,5.7,,,0.3728,,,,,,,,
1985,,,4.1388,,,,8.6992,,10.9,10.9,9.8968,,9.1,0.3596,,0.2878,9.114,,,4.7181,13.0713,,,,,,,,,,6.8,,,2.37,,,,,,,,,,,,11.4,11.0,,,7.0,,,,,,4.9,12.2744,,14.0,,10.5,,1.552,7.4,9.9734,1.567,,1.6578,,,5.5,,,,3.492,4.8909,1.3095,7.4543,0.7231,,0.5568,,0.7692,8.2,,,15.8,6.5095,8.3,3.3333,1.2055,14.7,13.5857,1.7071,12.0304,,,,2.4,,,,,,,,,12.776,,14.3086,,1.2669,,12.2205,,,,,5.5119,,,,,,,,3.3465,,2.5576,,,,2.406,,,0.1802,,9.5,,,4.122378,,3.3533,1.6845,1.7557,,4.7354,5.7,,,4.0,,,,8.9404,12.9816,,,,,,,,,6.768,,,,,8.95471,6.3261,14.6,,4.822,,,,,10.6448,10.668,,,,,2.1,,,,12.695,3.2458,5.5,11.8342,,2.6931,,,,,,,,1.3936
1986,,,4.0697,,,,9.0242,,,10.8,9.8411,0.6792,,,,,9.4521,,,4.742,13.2605,3.3168,,,,,,1.7059,,,6.7,,,2.4,,,,,,,,,,,,,,,,6.9,,2.4884,,2.0857,,4.8,12.2652,,,,10.3,,,,10.015,,,,,,5.3,,,1.7212,,,,7.4026,,,,,,7.9,,,,6.3802,8.0,,,,13.5607,,12.0309,,,,,,,,,,,,,12.7692,8.1,14.1929,,,,12.4355,,,,,5.4995,,,,,,,,,,,,,,,,5.9,,,,,,,0.5995,,,1.7142,,,,,,4.0,,,,8.9466,13.0463,,,,,,,,,6.7,,,,,8.94222,6.2679,,,,,,,,10.6449,11.1222,,,5.0373,,2.1,,,,12.7876,,5.4,11.9557,,2.7001,,,,,,,,
1987,0.3091,,3.97,,,,8.9966,,10.5,10.7,9.8821,,,,,,9.5642,,,4.5935,13.4563,,,,3.5603,,,,,,6.6,,,2.48,,,1.5931,,,,,,,,,,,,,6.2,,,,,,4.8,12.1365,,,,10.2,,,,10.1074,,,,,,5.2,,,,,,,7.4225,,,,,0.7182,7.2,1.5105,,,6.2899,7.8,,,,13.5561,,12.0642,,,,,,,,,,,,,12.8029,8.0,14.239,,,,12.6676,,,,,5.4336,,9.3353,,,,,,,,2.4779,,0.5439,,,,5.7,0.227,,,,,,,,,,,,,,,4.0,,,,8.9502,13.1176,,,,,,,,,6.659,,,,,8.95051,6.2153,,,,,,,,10.6556,11.105,,,,,2.1,,,,12.8506,,5.2,11.9457,,2.5983,,,,,,,,1.9408
1988,,,3.9355,,,,9.1904,,,10.6,9.9663,,,,,,9.5602,,,4.5782,13.3729,,,,,,,,,,6.5,,,2.54,,,,,,,1.5977,,,,,,,,,6.0,,2.629,,2.1247,,4.7,12.0267,,,,10.1,,,,9.9935,,0.5841,,,2.803,5.2,,,,,,,7.4417,,,,,,6.4,1.4837,,,6.3169,7.5,,,,13.5442,,11.9474,2.0987,,,,,,,,,,,,12.8054,7.9,14.0949,,,,12.7637,,,,,5.4743,,9.2573,,,,,,,,,,,6.3703,,,5.3,0.2398,,,,,,,,,,,,,,,4.0,,,,8.9422,13.1752,,,,,,,,,7.657,0.9063,,,,8.81316,6.138,,,,,,,,10.6742,11.1293,,,,,2.1,,1.0904,1.3154,12.9304,,5.1,12.2162,,2.4996,,,,,,,,
1989,,,4.1321,,,,9.0358,,9.8,10.4,10.2044,,,,0.3064,,9.7021,3.3395,,4.4983,13.5795,,,,,,,,,,6.3,,3.1767,2.56,0.8285,2.5983,,,1.2511,3.1249,,,,,5.0864,,,,,5.8,,2.5644,,2.0199,,4.7,11.9308,,,,9.9,3.4673,,,9.9957,,,,,,5.1,,,0.8778,,,,7.393,,,0.7026,,,6.2,,1.7139,,6.2837,7.1,2.4001,,,13.63,1.4362,11.972,,,,3.0,2.9854,,,,,,2.403,,12.6358,7.8,14.0235,,,18.1071,12.7275,,,,,5.499,,9.4411,,,,,,,0.8419,2.3395,,,,1.8269,,4.8,0.2443,,,2.5072,,,0.6043,,,,,3.3299,,,,4.1,1.3201,,2.3003,8.9371,13.1862,0.8679,,,0.524,,,,,7.445,,,,,8.81631,6.0634,,,6.2833,,,,,10.6298,11.1934,,,,1.9657,2.1,,,,13.0064,,5.0,12.2851,,,,3.3017,,,,,,
1990,0.2498,1.2913,4.0249,,2.64,4.5943,9.0948,6.6,,10.2,10.0992,,8.0,0.8339,0.2993,0.3042,9.7908,,4.0,4.4591,13.2264,2.7,,1.3178,3.3453,8.4,,0.8467,1.5752,0.8732,6.0,,3.1586,2.58,0.8116,2.5533,1.4268,3.35,1.3667,2.7616,,2.5,5.4212,3.0,,11.3,10.4,2.5397,3.0,5.6,1.8813,2.4993,1.6441,2.0709,,4.6,11.6106,0.2415,12.5,,9.7,,3.1938,5.9,9.7975,1.46,0.5507,0.6109,1.4779,,5.1,8.0,,1.1,,,1.0067,7.3778,0.7556,,0.6652,1.7522383,,6.1,1.4331,1.6596,16.7,6.2432,7.2,2.2,1.7978,,13.6661,1.6472,11.9773,2.0721,4.2718,9.2,3.1,,2.5698,1.6506,,4.173,4.0,2.7435,,12.4872,7.6,14.0754,,1.29,,13.1478,0.936,0.7628,1.0,2.2727,5.9477,,,0.6358,,,0.8671,0.6654,,1.5507,2.1306,,,1.6682,1.8213,5.8,4.6,0.2436,,8.5,2.1088,,3.6308036,0.64,2.5,1.4132,1.3919,,4.0242,5.7,,,4.1,0.9322,,,8.9199,13.0553,1.652,2.4964,1.088,0.7296,3.6078,0.8281,,1.4711,7.16,0.7535,,,5.7,7.4482,6.0408,12.4,,,1.0865,,1.5111,1.6326,10.6618,11.485,,,4.0,1.9167,2.4,,1.0246,,13.0131,4.5226,4.9,12.4828,4.7,2.6779,4.8,3.8329,,,0.8362,,,0.5105
1991,,,3.9987,,,,8.5293,,9.2,9.9,10.0209,0.6631,7.9,0.5005,,0.3081,9.7682,,,4.378,13.2047,,,1.411,,,,,,,5.8,19.9,,2.6,,,,,,,,,,,,11.1,10.1,,,5.4,,,,2.0242,,4.6,11.2892,,11.2,,9.6,,,5.6,9.7981,,,,,,5.0,,,,,,,6.5201,,,0.6686,,0.787,6.0,,,16.3,5.97,6.8,,,,13.709,,12.058,,,,3.3,,,,,,,,,12.4654,7.5,13.6219,,,,13.1162,,,1.1,,5.7873,,,,,11.4865,,,2.8866,,2.0939,,,,,5.7,4.4,0.2372,,7.4,,,3.4188397,0.6522,,,1.2745,,,5.7,,,4.1,,,,8.9221,12.702,,,,,3.5472,,,,,,,4.7373,,7.5779,6.0113,11.9,,,,0.7201,,1.6613,10.9629,11.555,,,,2.0123,2.4,,,0.9162,12.9691,,4.8,10.9473,,2.6776,,,,,,,,
1992,,,4.0134,,3.0605,,8.3677,,8.9,9.7,10.5428,,7.7,0.2231,,,10.2064,,,,12.6907,,,,,,,,,,5.5,,,2.62,,,,,,,1.5831,,,,,10.7,9.9,,,5.1,,,,2.0004,,4.5,9.6817,,11.0,,9.4,,,5.4,10.0087,,,,,,5.0,,,,,,,6.2101,,,0.665,,,5.7,,,15.9,5.9895,6.9,,,,13.4619,,11.932,,,,3.5,,,3.0827,,,,,,12.0454,7.3,12.9406,,,21.6786,12.7903,,,1.2,,5.6964,,,,,,,,3.1351,,2.0607,,,,,5.7,4.3,0.2426,,7.1,,,,0.6447,,1.5,1.3701,,,5.6,,,4.0,,,,7.8621,12.2343,,,,,3.4514,2.7481,,,,,,,,7.5609,5.937,7.6,,,,,,1.7067,11.2423,11.4153,,,,2.8573,2.4,,0.8903,,12.729,,4.6,10.7541,,2.573,,,,,,,,
1993,,,3.8314,,,4.6,8.2147,6.1048,8.9,9.4,10.4875,,7.7,0.2391,,,10.4942,,3.8839,,12.4762,2.8,,1.4,3.5,1.2676,,,,,5.4,,3.1,2.63,,,,,1.3,,,,6.0,,,10.4,9.7,,2.5939,5.0,2.0,,1.6,1.9293,,4.4,9.6223,,10.0,,9.3,,,5.1,9.3911,,,,,,5.0,8.1778,,1.1,3.1,,0.8,6.0712,0.7991,,0.6576,,,5.5,,,14.8,6.0779,6.7,2.1003,,15.6,13.1665,,10.7456,,,,3.7,,,,,,4.3518,,,11.9106,7.4,12.2315,,,,12.4827,,,1.2,,5.6006,,5.8432,,,,,,3.0948,,2.0295,,,,1.8,5.6,4.2,0.2387,,6.5,,,,0.6515,2.7,1.3,1.0711,,,5.6,,,3.9,1.3,,,7.8699,12.1959,,,,,3.6427,,,1.5,,,,,,7.874,5.8007,7.0,,,,,,,10.6812,11.6789,,,3.2426,,2.5,,,,12.4707,4.5,4.5,9.3942,5.0153,2.6,,,,,,,,
