Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2014,19.078508,2.3042781,10.018161,21.901966,13.356457,13.142517,22.749857,31.469032,29.170887,14.855566,11.028863,3.0443032,39.88322,3.3521686,2.683045,8.502305,60.430054,18.64678,34.094784,33.488457,1.203652,23.115557,31.787043,21.170862,21.390661,20.35686,16.617876,8.697393,0.97927046,23.195179,46.08554,16.743952,8.036342,4.6499605,1.977649,0.7939779,2.5542831,15.71214,3.0432136,31.728363,22.004135,36.69762,24.27193,14.558139,5.085271,20.33798,27.81797,11.561379,5.2553368,11.581113,4.327632,69.91807,12.39014,,9.418108,12.074416,37.981243,13.806052,,,32.53026,5.7828016,2.3921223,6.7061324,2.6152968,3.9006076,28.159782,30.140656,35.858395,8.598732,22.72071,21.059978,33.77423,2.7027411,15.497377,17.585434,12.7504835,21.736242,32.307167,4.9718113,40.306175,20.926947,50.821003,5.183657,15.535243,33.7861,3.405261,5.5900784,7.988921,5.6592627,,50.896038,17.202406,14.254934,2.8372142,22.7189,3.6316924,12.7928095,21.060581,17.3613,3.5396795,16.239874,79.677315,20.372187,36.806137,24.111269,57.574104,1.8415767,10.96165,14.9443655,22.411474,27.055458,5.452636,36.846672,3.3909876,41.89334,71.917274,4.1331935,7.608479,22.516535,3.3308575,10.55178,13.608286,1.6150517,5.5304914,7.5885625,14.7715025,8.512399,8.694907,29.558767,17.076832,20.785606,12.253098,9.054297,24.09484,8.207846,8.616383,1.5147817,32.99721,53.517887,9.858944,11.1530285,14.876156,30.810495,36.92997,5.8549285,8.336575,3.1968405,4.804605,9.028169,3.948734,,11.840462,232.73035,29.650703,1.7902414,29.836077,12.0835495,28.025,31.915802,21.135105,6.5675254,54.292694,,0.9608135,4.744243,12.1636095,6.8375926,4.8944545,18.746193,12.40401,18.707392,19.359936,2.6290882,3.1410847,0.7688234,12.253098,32.421616,31.314835,20.914839,16.972055,3.874806,22.87721,23.356771,1.6756591,10.6458025,4.6650043,14.668721
2015,18.899796,2.1613305,10.087436,21.888754,13.311188,13.173875,23.642052,29.61417,28.755392,13.82627,10.872194,3.136719,38.538017,3.54027,2.8161297,8.636264,60.209686,18.715128,30.202557,30.74515,0.8921416,20.771646,34.14094,20.79981,16.386618,20.954643,16.458601,8.047674,0.69048375,22.910748,44.389904,16.05517,8.509939,4.9306483,2.0559962,1.0290953,2.6343734,16.301466,2.9595227,31.656233,22.008152,35.042587,23.725565,14.0606165,5.7114773,20.079954,24.715523,12.55273,5.3037705,11.516461,4.373317,67.7138,11.13374,,8.487529,12.18849,37.527657,13.648523,,,32.33133,6.809381,2.6560397,6.82249,3.2227035,4.3585696,26.832094,29.845137,35.861988,8.714019,22.278854,19.06532,33.444954,2.6926963,15.1354065,17.453379,13.429359,21.717007,31.334986,4.6501827,36.354134,20.140503,49.83203,5.2703013,14.502529,34.016705,2.9751997,5.720359,8.401912,6.100653,,50.591118,16.749443,13.855335,2.8641975,22.707083,2.9856555,12.57561,20.091993,17.581818,3.711207,14.543169,77.0134,18.022669,37.122017,24.658237,35.56191,2.0027068,10.725522,14.1165085,22.620049,26.938585,5.852913,36.95501,3.3582,43.006,70.68999,4.2780166,8.01844,21.7439,3.38868,10.42727,13.692937,1.6607178,4.9189734,8.091472,13.96461,7.7309046,9.253117,28.89209,16.756752,20.771961,12.036932,9.490257,23.741707,8.345422,8.763676,1.4700181,31.169012,35.559906,10.971326,11.4394045,13.468091,28.783176,32.792797,6.132067,8.421044,3.3177042,5.1449203,8.962354,3.8409307,,11.627675,224.0661,28.89813,1.5819951,29.282324,10.690406,28.28348,31.252312,19.33581,7.6143208,54.447983,,0.9858939,5.118865,12.161255,6.8865056,4.898199,31.206604,12.049406,19.45027,18.963963,2.6363342,3.1242964,0.5637245,12.036932,32.728794,30.46275,20.91021,16.533234,3.7931533,21.79269,20.726711,1.6226119,10.185336,4.630041,5.898838
2016,19.907022,2.1097245,9.933268,21.528297,12.860938,13.361738,23.555649,26.434414,27.719704,12.684957,8.165964,3.2133346,36.528362,3.5118005,2.7939985,8.705695,48.390015,18.488577,30.03552,29.512695,0.8566219,20.154757,38.06227,20.28555,16.724764,19.71646,16.490887,8.249964,0.6806022,22.339317,42.485706,15.712324,8.7941265,5.051099,2.0333352,0.8421355,2.9807189,16.100714,3.32248,31.358814,21.47155,33.227085,22.415,13.539306,5.5708838,18.114958,24.096472,12.581182,5.304704,10.960769,4.479412,62.054157,10.423615,,7.3040686,11.837988,37.110313,13.507672,,,32.936092,6.8037176,2.636672,6.689605,3.1284158,,24.653494,21.923334,34.915585,8.642523,21.570585,19.263933,32.690166,2.6278615,14.730974,17.103992,14.095465,21.45602,31.65488,3.8865616,35.34384,18.947824,47.61881,5.2257113,14.077637,33.93015,2.963117,5.516307,8.557535,7.2288218,,47.69602,16.213652,13.610547,2.955112,23.744225,2.9184418,12.459071,16.320507,17.780931,3.8026087,13.438933,76.825424,17.088,36.69523,24.868767,35.71272,2.13965,12.797324,14.19365,22.897518,27.337152,5.8737454,34.0461,3.3983557,44.322487,70.19069,4.3425236,9.355695,20.41538,3.0134532,10.162677,15.53355,1.6242615,4.683292,11.051657,12.42682,6.16428,10.121716,29.595213,16.29869,20.446915,11.972458,9.890791,23.494358,8.167458,8.837704,1.42738,31.08407,42.78376,10.948649,12.439205,11.607987,28.133652,29.964272,6.193554,8.43256,3.2643445,5.183643,8.697338,4.0035124,,13.445731,218.21205,28.820581,1.6756798,24.485798,11.008841,28.29361,30.692663,17.566828,6.9577703,53.72715,,1.0081861,5.491239,11.988271,6.70941,4.779353,30.960232,11.956645,20.114185,17.95766,2.821093,2.9651725,0.4956281,11.492076,32.160805,27.835339,17.233738,,3.8673427,21.16788,22.081497,,9.975848,4.635256,5.6333146
2017,18.581532,2.0351202,9.877547,20.571327,11.774137,13.443515,23.776539,26.127253,28.952583,12.086382,7.2567396,3.154842,34.751324,3.269882,2.7698526,8.781884,50.805,17.673817,26.348259,29.746428,0.7840065,19.583523,40.32586,19.461292,17.50302,18.476034,18.360931,7.6133766,0.70752716,20.826555,40.865177,14.768459,8.80003,5.187972,1.9023527,0.8736502,3.134418,15.508441,3.2378316,29.352856,20.426506,48.799725,21.332832,12.944902,6.8637714,16.16031,20.743496,12.638886,5.270805,9.684658,4.6000834,58.78287,10.063746,,6.4559736,11.64401,35.914837,13.379895,,,33.48252,8.189428,2.6601145,6.6351533,3.0360796,4.961201,22.913801,21.772263,34.20017,8.57601,21.134527,19.176453,32.18689,2.661323,14.667073,16.647297,14.347399,20.588451,28.58676,3.8125012,34.380802,17.974705,44.590366,6.7903395,13.699261,33.787918,2.8126638,5.3657484,8.324052,7.509835,,42.23196,15.405542,13.311565,3.0425591,24.738613,2.963855,12.249345,16.159515,17.740408,3.7456255,13.606875,71.82916,16.429874,37.914555,24.950106,36.04625,2.2541656,14.437798,14.199874,23.253496,28.128506,4.972507,31.867273,4.70409,43.676884,70.173096,4.23509,9.371372,18.621956,2.2272604,9.949282,10.547243,1.6344293,4.381587,11.132231,11.890685,5.508654,12.022324,27.17686,15.027242,17.585562,11.505838,10.202391,22.338388,7.719182,8.994535,1.3867106,29.382607,39.18515,12.660464,13.199375,10.990839,26.811218,29.016413,6.088247,8.35658,3.318249,5.8117285,8.227816,4.1552396,,15.067055,185.1344,27.383057,1.5992099,23.981014,11.314243,26.96877,29.508524,16.199673,6.1770506,53.10024,,1.0114493,5.427872,11.505838,5.0003366,5.0508385,33.586246,11.267644,21.170994,17.290697,2.7553792,2.734861,0.4532253,11.0271435,31.287725,38.130444,17.233526,,3.4729707,20.624817,21.837807,,10.383266,4.466058,5.4024453
2018,17.27812,1.9617598,9.659591,19.396553,11.302892,13.3768635,24.435995,24.487131,27.48689,11.963589,7.1734586,3.0509152,32.340805,3.1709065,2.7456431,8.873654,52.495857,17.045559,26.580765,29.915071,,19.054237,40.292736,18.941628,17.41182,17.262997,18.39358,8.480419,,20.177591,39.55716,13.874032,8.868131,5.0437245,2.198232,0.88825023,3.1432817,14.926854,3.3737338,30.579779,19.575466,40.847958,21.29878,11.156898,7.394675,16.009392,20.860136,12.426461,5.3380413,9.455662,4.706544,55.23246,9.677556,,4.7956877,11.45252,34.70679,13.248894,,,31.776413,8.311838,2.6941466,6.3551226,2.945616,5.885148,20.940752,21.626766,27.743036,8.259506,21.221518,18.616165,29.955631,2.6933897,14.221088,16.096693,14.300539,20.27206,31.091808,4.209695,31.212738,17.437029,40.851185,6.465955,13.775113,33.76178,15.213587,5.171447,8.257812,7.830019,,42.11524,15.243431,12.748208,3.1271422,25.98404,3.1796412,12.091917,16.015375,17.681883,3.6870155,11.448653,68.6179,14.619164,38.222088,25.051079,36.81976,2.3169823,14.407222,14.030568,23.651844,26.602282,4.8463125,29.310558,5.0929413,43.646057,69.36515,4.2190514,11.838702,17.150494,2.29809,9.9621935,11.474013,1.5900974,4.24944,9.400222,10.921976,,15.46259,26.63999,15.469546,16.945662,11.474013,10.3397255,21.787039,7.332797,9.020917,1.3978322,29.787577,35.584934,12.487551,13.307064,10.506215,25.708904,25.997,5.679352,,3.3657393,5.6570597,8.120646,4.043978,,15.190599,177.09363,27.005388,1.592712,20.233576,11.377146,25.670816,27.95356,14.928528,6.6316137,41.804893,,0.95039344,5.0482783,11.350716,4.6103034,5.9372597,33.00825,10.78176,21.590115,16.86774,2.5199866,2.651258,0.43141505,10.092428,30.959543,36.12785,17.214243,,3.9333649,20.673162,22.368776,,10.180039,3.77793,5.2051516
2019,14.852051,1.8734671,9.084329,18.560106,10.106384,13.326277,25.268084,24.239813,24.618164,11.883162,7.1136436,2.993136,29.56977,3.8288703,2.988377,8.862834,57.46622,16.913248,23.080643,29.559904,,18.558075,44.53604,18.669935,16.027447,17.596182,19.307594,8.591127,,19.749733,38.404213,12.882544,8.847284,4.9962363,2.1522539,0.67426723,3.0836813,14.473519,3.9177601,30.102636,18.854538,34.594902,20.603832,10.953189,8.857227,15.825846,19.993961,12.19702,5.3482533,9.650007,6.26844,49.64129,8.928346,,4.4780035,10.955691,34.06103,13.125082,,,33.86876,8.07988,2.655194,6.1550794,3.6371477,5.7936816,19.322214,21.4832,25.62671,8.0861635,20.94704,18.11858,28.251894,2.7240787,23.450228,15.650387,14.426466,19.720434,,3.7778523,30.077244,16.840944,39.10909,6.5993056,13.577517,33.62857,14.743589,4.9694934,8.156383,8.302607,,42.04662,15.031461,12.05979,3.1269276,26.408537,3.1035895,12.186589,17.26281,17.683771,3.698235,10.060103,64.91947,9.659407,38.707348,24.866625,33.84076,2.3926418,15.222245,13.922778,24.062426,26.72014,4.787254,27.228193,5.6094084,40.888138,64.04689,4.4980984,12.306138,16.468218,2.2736328,9.806101,11.279796,1.5970795,4.730676,8.750421,9.224516,,17.970392,25.03816,15.827228,16.533007,10.74462,10.50258,20.318436,6.655731,9.1995,1.4728446,28.989809,34.689682,11.934231,13.038752,9.801166,23.777359,25.2962,5.2378387,7.9231377,,5.2562776,7.8086023,3.9364266,,10.581868,138.97363,27.125748,1.6242691,19.788656,11.198618,24.885305,27.494879,14.28713,6.2676277,44.084644,,0.8456958,5.3204346,10.907372,4.4545474,6.1602755,,10.479726,21.781265,16.182095,2.6703656,2.6399736,0.4172772,9.901681,30.525717,40.333797,17.21636,,3.9927886,21.219177,22.100796,,9.640062,3.1728408,3.5383618
2020,11.351897,,8.543374,18.435614,8.506677,13.076516,25.773497,21.33874,23.299187,7.4156094,6.2891,3.0871294,26.164299,3.3273923,2.742818,8.777302,59.72895,16.814459,23.420647,29.718397,,18.131592,68.33201,17.935465,15.09089,17.362185,18.981127,8.285646,,20.181835,37.07095,12.096661,8.771145,4.8707433,2.1521974,,2.9931242,13.441314,3.8304212,29.171253,17.101175,29.919468,18.34202,9.355181,7.9986777,13.911592,18.657701,11.581189,5.3028045,9.57509,6.3670516,45.515003,7.923602,,4.0098267,10.432952,33.431503,12.956892,,,31.924946,5.9741654,2.6685686,5.958332,3.53037,5.943287,18.362377,19.185879,24.352596,8.112374,20.136913,15.865895,26.977972,2.6234837,23.263021,15.272929,14.568825,19.047901,,3.6900349,27.861698,16.240732,37.64755,6.4491596,13.1905365,33.602146,14.098757,4.8573136,7.75554,11.612588,,41.99365,14.293989,11.811237,3.1455388,25.424278,2.9209874,12.1549,16.444326,17.547401,3.7097516,10.405726,59.84836,6.986795,38.3196,24.426918,31.73786,2.450889,15.161118,13.001417,24.474669,25.884722,4.5055165,23.473444,,38.174774,62.771633,3.999456,12.112931,15.517676,2.0726504,8.727229,10.894522,1.5616574,4.40098,7.9328637,6.98342,,21.760086,21.288515,16.517115,16.752462,10.42065,10.42065,19.976473,6.101367,9.169059,1.4498768,25.802374,33.039864,10.628392,13.484261,9.201325,22.720364,24.194345,4.5133653,7.6587696,,5.271865,7.0071783,3.830748,,9.4381485,132.39638,26.956758,1.6434118,19.254171,10.797071,23.399874,24.680305,13.820694,6.428472,41.0156,,0.86348337,5.414532,10.279635,4.4716005,5.644215,,10.231351,21.879263,15.573791,2.4833817,2.5036294,0.40607044,10.071863,29.554686,43.03041,17.215513,,4.009847,21.144667,22.48589,,9.2906275,3.0487754,3.904282
2021,12.409887,,8.035832,16.398472,8.128876,12.945281,25.664276,19.821867,21.076834,12.3378525,6.5479836,3.174687,22.791603,3.3766234,2.6868927,8.830533,61.181137,15.878561,23.485348,30.004229,,18.113482,71.94625,17.196491,14.1667385,16.243843,20.904253,6.910655,,20.689905,36.49327,10.90886,8.777775,4.7396,,,2.8139904,12.668646,5.125738,30.130465,16.288563,27.455051,17.700642,7.6059904,8.361969,13.78621,17.494968,11.1068945,5.305456,9.153842,6.3950815,37.302135,7.4658012,,6.1458187,10.345667,33.092606,12.754452,,,31.575666,11.169293,2.6298945,5.9001637,3.4289942,5.895036,17.053549,20.081383,24.042406,8.020183,19.644728,15.288892,26.872124,,22.44248,15.917318,14.420533,15.92696,,3.6305335,26.39184,15.286354,34.380257,6.3895383,12.871149,33.692,13.137158,4.5874896,7.5467854,12.3970995,,36.655933,13.588255,12.677167,3.0651808,23.196428,3.1337054,12.166799,14.306541,17.287228,3.5915956,11.112991,56.66975,6.540831,38.037148,22.451582,31.080622,2.8875558,14.943436,12.226539,24.91458,25.162666,4.4084105,22.867088,,33.75251,61.58112,3.764327,12.218639,15.061882,1.9989026,8.45938,9.479054,1.5810314,4.241155,7.912248,5.4471984,,22.412247,17.680788,16.886375,15.074554,11.1068945,10.4692955,19.642899,5.407002,8.993534,1.4135038,23.261377,30.693087,10.402884,13.083636,9.362601,21.790565,22.76105,3.3063188,7.4269714,,5.6567817,6.938204,3.9590034,,9.279919,122.766335,26.164143,1.565045,17.192406,10.651139,21.12538,22.596405,11.422569,6.1965065,39.331367,,0.845198,4.9753923,9.371704,3.354946,5.4988256,,10.071311,21.885109,15.151634,2.4540462,2.3197787,0.38199064,9.709062,28.24515,48.93145,17.223774,,2.910176,21.080883,23.486584,,9.475308,2.7786348,5.8181086
2022,10.0944395,,7.583594,17.216314,7.896998,12.817572,26.005262,19.64045,19.304703,11.457276,6.597559,3.3334138,21.140636,2.9009604,2.7350848,8.837637,79.043236,16.85052,23.506012,29.461725,,14.683134,74.10371,16.561169,12.822267,,,7.728154,,19.766693,35.048817,10.010877,8.797967,4.1988506,,,,12.805561,5.0144067,30.37445,15.840973,21.860271,16.578125,7.026224,9.356624,13.684805,17.537748,10.837044,5.288437,8.926445,6.2629414,33.569702,6.828984,12.047175,5.962125,10.244558,32.14766,12.568973,,,31.336916,5.745886,2.7400851,5.840739,3.330835,5.7269597,16.357172,19.9222,23.28982,7.9679203,18.989151,15.293664,26.232964,,17.429356,12.366959,14.315676,13.388138,,3.4145062,25.370522,14.473171,33.130558,6.4418435,12.552588,33.664597,12.448404,4.5060973,7.457919,12.5568905,,36.4954,12.916582,12.468349,,20.787008,3.0438495,12.282653,15.602423,17.225687,3.5472617,10.55166,52.37192,5.167161,44.4139,21.592703,28.800241,2.8821137,14.869562,12.35656,28.494087,24.830282,4.1066394,22.112526,,45.497074,60.695,3.6088634,11.353615,14.574624,1.9292908,8.207761,9.348033,1.5887777,4.364872,7.7820263,5.183487,,23.057299,16.922817,16.679308,14.594258,10.801417,10.76579,19.100056,5.1797256,,1.3794916,22.590612,29.864645,9.868648,12.660998,,21.492434,21.383163,3.1377664,7.247272,,5.5135007,6.4189954,3.854753,2.570651,9.0986595,122.569885,24.340813,1.5833935,14.531505,10.530149,20.647541,21.452946,10.600304,6.116504,38.989902,,,4.9315495,8.708957,3.4999466,5.481298,,9.439716,22.106535,14.638969,2.3477352,2.3380098,0.39205763,9.569893,27.197212,52.009113,19.714874,,3.011705,,23.049274,,9.104143,2.701335,5.5424542
2023,10.046998,,7.1567893,16.866938,7.708757,12.394557,24.68898,16.85051,16.861166,11.009745,6.389058,,,,,8.808118,92.00939,14.620018,21.704744,29.186415,,14.723845,62.624336,16.035814,13.184813,,,8.16115,,19.020884,34.11288,9.482334,8.774826,,,,,12.8246975,,29.915,,21.122192,15.376976,6.622237,9.685096,10.190563,16.704697,10.841101,5.261707,8.836935,6.2135806,32.429604,6.556053,14.489595,5.8718705,,31.262594,12.384667,,,31.164473,4.4378138,2.8049295,5.7155633,,,15.716595,16.644648,22.834705,,18.15806,15.583537,24.712912,,16.648766,11.694763,14.466938,,,3.2015033,23.325102,14.166804,31.546774,6.676553,12.246439,33.674126,,4.480817,7.3523846,14.282448,,33.70408,12.737821,12.345245,,19.028816,3.0455325,,14.838496,,3.5023293,10.251487,48.42976,4.6502686,44.273735,20.91839,28.216326,,14.946951,12.179152,27.995522,24.679916,,21.65877,,35.593803,59.81878,3.4802365,,14.256958,,8.066179,,,,7.713709,4.584864,,22.869347,16.047646,,16.281248,12.295842,10.833249,18.587788,4.7630196,,,21.76986,29.217659,10.014347,12.499136,,21.118816,21.643742,,7.017184,,,6.085365,3.75718,2.517121,9.283643,122.01322,23.996235,1.5811096,,10.409483,19.962368,,10.538823,,,,,,8.349029,,5.362697,,9.302602,,14.387062,,2.2593806,0.38964292,8.952307,26.633251,54.27767,17.242653,,3.0618274,,30.463182,,8.719329,,5.3954353
