Date,AGO,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BGD,BGR,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CMR,COD,COG,COL,COM,CRI,CUW,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNQ,GRC,GRD,GTM,HKG,HND,HRV,HUN,IDN,IND,IRL,IRQ,ISL,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LBN,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MCO,MDA,MDG,MDV,MEX,MKD,MLT,MNE,MOZ,MUS,MWI,MYS,NAM,NGA,NIC,NLD,NOR,NPL,OWID_KOS,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,ROU,RUS,RWA,SAU,SGP,SLB,SLV,SMR,SVK,SVN,SWE,SWZ,SYC,TCD,THA,TJK,TON,TTO,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VNM,VUT,WSM,ZAF,ZMB
2010,9.25,11.96,7.24,17.75,,4.62,7.49,,11.71,5.03,,10.47,10.28,11.1,,7.69,10.3,,9.16,8.09,,10.38,4.77,5.45,7.84,,4.34,,4.87,9.79,17.36,8.41,,6.0,6.45,,,,4.12,,7.73,12.43,,9.01,,4.26,11.85,3.89,,9.87,4.47,12.74,12.44,,16.04,8.25,5.32,,6.73,,,12.85,8.27,8.19,6.18,8.39,,,6.7,4.98,,,11.07,11.67,15.61,18.98,,7.1,11.49,,,,5.18,7.96,5.23,10.42,3.02,4.25,15.72,8.2,,9.64,10.3,5.8,9.32,,5.51,,8.95,8.34,1.49,6.59,4.44,,,9.26,,11.55,7.75,8.52,10.53,8.2,5.09,5.8,10.7,,10.84,13.77,12.23,9.11,14.09,9.41,9.5,7.2,7.51,,12.35,7.0,5.3,8.53,15.08,,11.39,12.28,10.3,11.26,12.39,,8.8,12.39,,6.7,11.9,,6.78,8.99
2011,9.44,12.6,6.87,14.94,,4.7,7.19,,13.19,4.92,8.01,10.76,10.61,12.02,,7.54,10.08,,8.07,12.02,,13.15,4.88,5.66,7.74,,2.96,,3.99,10.23,16.19,8.39,,4.39,6.46,,,,4.34,,7.53,12.04,,8.2,,3.65,9.52,3.89,,6.66,4.32,11.99,10.67,,14.3,9.73,-1.26,,6.6,8.16,,12.62,8.29,8.63,5.87,6.88,,,6.33,5.45,,,10.98,11.6,16.03,16.42,,6.73,11.33,7.45,,21.26,5.5,8.75,5.0,8.21,2.66,4.0,15.58,7.94,,8.89,10.68,5.86,10.06,,5.76,,8.35,7.79,10.62,6.4,4.33,,,9.52,,11.21,8.32,9.08,9.7,7.82,5.04,7.37,11.16,8.07,10.04,15.58,12.01,8.03,14.49,10.22,8.54,7.39,7.77,,12.23,6.58,8.87,7.84,13.56,,11.35,11.71,10.02,12.76,12.55,,8.85,10.9,,7.58,12.09,,6.84,8.92
2012,9.55,12.99,7.25,13.53,,4.76,7.77,,14.27,5.33,6.19,10.1,10.93,10.98,,7.68,10.15,,6.79,14.51,7.06,14.13,4.62,5.7,7.94,,2.68,,4.25,10.46,10.73,8.35,,3.8,6.85,,3.84,,4.63,,7.97,11.94,4.54,9.05,,4.0,8.88,4.27,,5.91,4.68,13.58,11.11,,14.65,7.7,4.5,,6.63,8.8,,13.0,9.47,9.0,6.13,7.37,,,6.55,5.39,,,10.91,11.35,14.21,15.44,,6.85,11.04,8.17,,7.07,6.78,11.12,6.28,8.71,2.66,3.97,12.42,8.08,17.14,9.35,10.72,6.07,9.02,,6.88,,8.6,7.99,10.82,7.02,4.56,,,9.21,,10.42,8.62,9.97,10.17,8.69,6.59,7.55,10.83,8.02,9.96,15.38,12.65,8.46,12.31,10.25,6.21,7.97,7.53,,12.55,7.23,8.67,7.81,15.61,16.56,11.21,12.1,10.06,12.61,12.11,,8.81,10.03,,7.97,13.47,,7.44,10.98
2013,10.22,12.54,10.16,12.64,,4.67,7.99,,14.52,5.78,6.56,10.35,11.54,10.18,,7.49,10.15,,9.51,15.34,8.38,19.09,4.3,6.3,7.91,,3.42,,5.19,8.96,11.29,8.09,,8.12,7.18,,4.17,,4.85,,7.94,12.31,5.34,9.87,,4.1,8.67,4.53,7.27,6.33,5.2,12.59,9.98,10.19,13.52,8.39,7.27,,6.92,8.69,,12.62,9.93,9.6,6.07,7.54,,,6.91,5.4,,4.74,10.59,12.24,13.2,17.4,,7.35,11.07,7.95,,6.68,5.97,11.63,6.39,8.91,2.36,3.68,10.65,8.6,16.02,8.96,10.57,6.55,8.16,9.03,7.31,,8.65,8.52,10.39,7.22,4.79,,,8.06,6.75,9.8,8.65,9.16,11.86,9.1,6.73,7.04,10.25,7.96,10.36,13.64,13.54,7.91,12.26,10.18,7.26,7.56,8.16,,11.95,7.18,9.65,8.52,16.45,17.78,11.1,10.95,10.58,12.19,12.21,,9.15,9.77,,7.42,12.89,,7.56,13.48
2014,8.91,12.52,9.99,11.63,,4.7,6.84,,13.45,5.38,6.18,11.57,10.67,9.68,,7.15,9.46,,9.78,12.96,9.11,19.16,4.48,6.99,7.77,6.86,4.95,,5.66,8.93,11.9,8.08,,9.58,7.27,,4.3,,4.59,,7.94,12.25,5.62,10.68,,4.36,8.71,4.24,6.84,5.54,4.37,13.22,10.61,10.91,15.05,9.55,8.07,,6.94,9.02,,12.78,8.54,9.96,6.31,9.75,,19.9,7.04,5.88,,4.64,11.86,12.68,11.66,13.77,,7.14,10.27,8.66,,7.07,6.66,11.26,6.5,8.58,2.21,3.64,10.98,8.51,16.45,9.37,9.92,5.46,8.89,8.64,8.01,,8.87,8.87,10.43,7.69,4.59,,,9.45,7.38,10.03,9.16,8.39,13.19,8.94,6.45,7.01,10.36,7.38,7.72,13.67,13.68,7.89,13.18,10.14,6.21,7.69,10.26,,12.61,6.28,6.98,9.21,10.82,20.36,10.76,11.59,10.35,12.89,10.32,,9.2,10.04,,6.86,12.35,,7.17,13.75
2015,9.44,12.85,9.44,11.86,3.05,5.32,7.45,,13.45,5.69,5.72,12.02,10.08,9.94,,7.04,7.69,,10.95,14.11,8.52,18.06,4.55,7.47,7.37,7.07,5.26,,9.06,8.7,10.88,7.89,,9.87,7.49,,5.26,4.0,4.99,,9.01,13.04,6.0,15.05,,5.43,8.48,4.68,7.28,4.51,5.43,10.43,10.5,10.56,14.83,11.22,10.17,4.62,6.86,9.47,7.64,11.84,8.22,10.77,6.68,12.49,8.83,20.47,7.01,6.19,179.43,4.79,10.58,12.36,12.21,13.77,6.66,7.05,10.83,8.65,3.65,6.34,7.08,9.89,7.01,9.03,2.9,4.29,13.06,8.69,16.64,8.66,10.18,5.9,8.62,8.5,8.75,10.13,9.24,9.22,12.38,7.67,5.07,,,10.98,6.98,10.17,8.61,8.39,13.31,9.37,7.2,7.18,9.71,8.18,7.63,14.07,13.9,8.34,11.27,10.15,6.92,7.68,11.15,,12.91,7.91,7.69,10.03,12.06,19.65,11.69,11.0,11.11,13.04,6.91,7.35,9.36,9.03,6.64,6.34,11.17,,7.12,11.16
2016,10.83,13.15,8.87,12.95,3.91,5.44,7.33,,13.83,5.87,5.71,11.63,10.86,10.59,,7.32,8.39,10.29,11.07,12.62,8.44,16.09,4.65,7.3,8.25,6.87,4.31,,10.63,8.73,8.88,7.66,,10.18,7.23,,5.75,3.39,5.14,,9.87,11.87,6.15,13.96,,6.57,9.17,5.15,6.29,4.66,5.46,9.38,9.18,10.98,14.43,12.95,10.43,5.03,7.05,9.78,,12.12,9.6,12.43,6.7,13.01,10.48,19.53,7.17,5.49,13.42,4.8,11.04,12.91,13.99,13.75,6.92,7.45,11.46,8.92,2.32,6.38,9.06,7.75,7.36,8.49,3.12,4.56,12.97,7.96,18.55,8.38,10.19,6.41,8.57,8.43,9.1,10.06,9.16,9.32,11.37,7.5,5.46,,9.61,10.91,6.3,11.45,9.48,8.34,13.26,9.51,6.58,7.94,9.84,8.92,8.77,14.56,14.8,8.53,11.4,10.23,6.22,7.32,11.56,5.61,12.98,9.19,7.67,10.46,25.45,16.82,10.68,10.73,12.52,11.69,6.08,8.57,9.33,8.54,6.47,5.62,10.94,12.25,7.65,12.09
2017,12.36,12.87,10.19,12.76,3.95,5.91,7.54,,12.17,6.34,5.25,11.39,10.68,11.5,12.57,6.64,8.78,10.5,9.5,10.76,8.77,17.69,4.79,8.25,8.29,7.09,4.54,,12.2,9.19,10.54,7.86,,8.7,6.46,,5.39,5.13,4.88,9.45,9.78,11.66,6.06,13.1,8.67,5.49,8.87,5.37,6.21,7.69,5.39,11.3,8.91,11.86,14.41,13.4,12.0,5.85,6.97,9.83,7.42,12.43,10.26,14.62,7.04,12.34,14.15,17.75,7.35,6.64,11.46,5.0,12.46,11.66,13.9,13.97,7.16,7.54,11.44,8.99,3.31,6.84,9.69,8.25,8.35,9.72,3.3,4.81,12.83,6.81,19.77,9.07,9.82,7.31,8.54,9.97,8.73,9.86,9.11,9.52,7.18,7.3,5.71,,11.26,12.0,5.82,12.48,9.84,8.7,14.21,10.02,7.78,8.16,9.68,8.89,8.38,13.84,15.42,8.37,12.5,10.02,6.5,7.46,11.55,5.64,13.45,8.59,8.82,10.73,26.59,15.33,11.17,10.72,12.26,14.13,6.49,9.16,9.38,10.58,6.29,5.19,10.26,11.84,8.19,11.65
2018,14.18,12.16,8.65,12.5,3.87,5.92,7.55,,11.53,6.34,4.74,10.82,10.43,11.48,13.74,6.73,9.11,8.23,11.08,10.81,8.92,15.08,4.79,8.54,8.19,7.38,4.98,7.08,11.83,9.3,11.54,7.92,8.38,8.1,6.52,,6.29,4.93,5.1,9.62,9.95,11.78,6.05,12.7,8.6,7.84,9.94,5.41,6.02,6.9,5.58,11.55,12.29,8.68,14.86,12.81,10.72,5.55,7.08,9.49,7.26,12.35,10.97,12.82,6.89,13.12,15.26,15.93,7.38,6.33,11.44,5.18,11.78,13.18,13.32,13.93,6.61,7.47,11.6,8.09,3.96,6.98,10.28,8.06,7.98,11.06,3.15,4.47,12.87,6.72,19.46,9.13,10.32,7.76,8.35,10.87,10.37,8.33,8.5,10.55,8.78,8.97,5.83,,10.73,11.73,5.84,12.49,10.45,9.3,14.46,8.74,7.31,8.42,10.18,9.34,8.6,15.2,15.19,8.04,11.93,9.58,6.2,7.35,10.69,5.38,13.11,8.26,7.5,10.78,27.04,15.97,11.22,10.79,11.85,14.23,6.03,10.29,9.44,10.33,6.27,5.73,10.38,12.21,7.91,11.16
2019,9.87,12.43,9.73,11.86,5.45,6.2,7.62,,,6.23,5.17,11.59,10.51,11.55,12.89,6.88,9.55,7.64,11.16,10.01,8.91,15.92,4.7,8.85,7.34,7.57,5.11,7.09,13.47,8.99,12.81,8.27,8.84,8.92,6.82,,6.65,3.56,4.83,9.61,9.33,11.91,6.1,12.1,7.98,5.88,10.96,5.52,6.11,9.88,5.53,12.28,10.66,9.58,12.96,-0.71,10.98,4.48,6.94,9.94,6.99,12.45,11.71,13.4,8.03,11.92,13.53,15.44,7.5,6.71,12.33,5.11,13.25,12.76,14.29,13.55,7.88,7.31,11.19,8.56,11.23,7.39,10.4,6.41,7.44,8.5,3.1,4.6,12.56,6.77,20.86,9.8,10.24,8.12,10.01,12.7,10.19,9.26,8.71,9.29,7.95,9.33,5.12,,10.36,10.5,5.94,12.71,10.92,9.52,14.01,8.52,7.92,8.72,9.42,10.2,9.16,14.52,14.43,8.24,12.94,9.19,4.24,7.26,10.61,5.66,4.49,8.16,2.8,11.3,27.38,17.66,10.55,11.75,11.7,14.01,6.94,10.42,9.4,16.66,6.45,5.77,,11.98,8.01,11.09
2020,8.97,12.31,12.41,11.5,6.48,6.37,7.42,,,6.25,4.77,11.88,10.19,11.37,11.13,6.81,8.66,10.35,11.95,8.47,9.19,13.82,4.56,8.75,6.64,7.54,6.49,6.07,10.12,9.75,10.11,8.05,9.45,8.66,7.34,,6.07,4.2,4.65,9.07,9.66,11.96,5.91,10.55,7.16,6.14,11.39,5.86,5.59,9.81,5.48,10.29,9.76,8.88,,-0.17,8.83,7.32,6.48,9.44,6.99,12.68,10.12,12.56,7.81,10.34,,15.38,6.69,6.6,11.86,4.73,12.21,12.26,13.81,14.21,7.15,7.2,11.77,,10.83,6.8,11.35,5.9,8.64,9.25,3.08,,12.88,6.89,19.27,9.73,10.38,7.93,9.88,12.35,9.61,9.14,9.02,9.6,6.93,8.89,5.45,,9.27,10.31,5.79,11.8,9.12,9.61,14.46,7.81,7.67,8.47,8.18,10.33,6.98,12.92,14.59,,13.16,8.84,4.02,7.29,9.52,5.67,11.72,6.22,1.64,11.14,26.27,17.21,10.18,10.55,12.42,13.54,7.19,9.66,8.61,13.15,5.53,7.19,,12.45,7.61,8.48
2021,10.03,11.83,12.98,11.24,9.29,6.17,7.74,,,6.17,4.76,11.09,9.97,12.14,10.37,6.74,8.77,10.37,10.08,8.2,8.63,13.85,4.77,7.36,6.65,7.75,6.49,4.9,10.87,12.22,,7.43,9.65,7.34,6.92,,5.65,,4.79,8.72,9.17,11.61,5.78,9.27,7.06,6.12,10.78,5.72,5.34,10.16,5.25,13.04,9.01,11.35,,-1.32,6.97,7.16,6.6,9.09,6.47,11.64,8.89,13.17,7.83,10.88,,14.73,6.33,6.12,11.67,4.77,11.64,12.07,12.35,14.44,8.1,7.1,12.18,,10.43,6.38,10.91,5.48,7.85,8.97,2.84,,12.37,6.72,15.94,10.85,10.51,7.57,9.2,13.13,9.11,8.28,8.83,9.26,6.76,8.18,6.7,10.79,8.96,9.82,5.14,12.15,9.36,9.55,13.54,6.75,6.97,9.45,8.02,8.62,6.67,13.74,13.95,,13.36,8.9,5.14,7.6,9.17,5.67,17.53,6.83,4.99,10.71,20.92,15.17,11.19,7.18,12.7,14.84,6.89,8.87,8.62,13.18,5.18,7.51,,12.72,8.09,10.26
2022,,11.33,14.74,13.7,,5.86,7.92,8.07,,5.97,6.7,9.92,9.89,14.51,8.85,,8.76,11.23,9.74,7.78,8.93,14.03,4.87,7.88,7.34,7.48,6.71,5.5,11.23,10.74,,9.69,,6.87,6.72,7.0,7.12,,4.88,40.01,8.43,11.24,5.52,9.52,7.46,5.74,9.7,5.35,,9.06,6.46,12.96,7.74,10.32,,1.15,6.92,,6.42,7.71,6.22,9.94,8.95,13.29,7.76,10.58,,13.46,6.58,5.89,9.7,4.07,11.14,11.43,11.3,14.92,,5.95,,,,6.41,12.47,5.04,8.14,9.43,3.51,,13.54,6.29,17.92,9.79,11.25,7.26,7.94,,9.0,9.0,7.57,9.67,5.69,7.9,5.97,7.57,7.31,9.39,4.94,11.78,10.34,8.88,9.13,6.53,6.7,8.93,8.06,8.49,6.69,12.04,14.0,,13.78,8.79,5.33,7.27,9.07,5.65,12.57,,4.0,10.3,,15.22,11.56,8.2,12.12,14.93,5.82,9.58,8.58,12.18,,7.87,,12.25,6.3,10.13
