Date,AFG,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BGD,BGR,BHR,BLR,BOL,BRA,BRN,BWA,CAN,CHE,CHL,COL,CYP,CZE,DEU,DNK,DOM,DZA,ECU,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GIN,GRC,GRD,GRL,GTM,GUY,HND,HRV,HTI,HUN,IND,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,LAO,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NER,NGA,NLD,NOR,NPL,NZL,OMN,OWID_CIS,PAK,PAN,PHL,POL,PRI,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SLV,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TJK,TKM,TLS,TTO,TUN,TUR,UGA,UKR,URY,USA,UZB,VEN,ZAF
2002,4.617624,,,1.0535312,,0.56935126,,29.990095,,0.27618247,,,,1.2742382,,,0.7692308,,,,,,25.0,,,7.654784,7.9212723,,8.58478,12.848839,,0.32461146,,,,,,0.6731633,,,,,,,,,,31.533009,,,30.90586,,,7.3170733,32.52174,,,9.530438,15.916844,,,,,,,2.179076,,,,,,,,21.0,0.5797101,,0.17210527,0.33505452,,,,3.1935053,,14.864865,48.910095,,,,7.6576576,,,3.455756,,3.293292,2.0521483,,0.68534386,,0.64,,,,3.3527045,0.5940594,,3.6633987,,,,,8.599049,,3.6771483,8.510535,,1.763697,,5.419015,,,
2003,7.2642803,,,,,0.5410694,1.1784155,29.928911,0.13647464,,,1.4832895,,1.2686402,,,0.7692308,0.0005427198,,,,,23.376623,0.4606888,,7.580888,7.991795,1.8092654,9.268966,12.26975,,0.38156104,,,1.3387592,,,,15.887057,,,6.3063245,17.754253,,,,2.5404944,30.733597,,,,18.33367,,7.064677,32.29572,,,9.47417,,,,,,,,2.179076,1.9070859,,20.192308,,,,,22.222221,0.7429719,,,,,,,,,12.162162,49.454426,,,,7.884972,,,3.3082926,,3.8445945,2.0996222,,,,0.62557924,2.2714593,,,4.2039356,0.5882353,1.7080576,,5.0,9.853037,,,,,3.5568275,8.62612,,1.768589,,,,,
2004,5.4998946,,,,,0.608246,,30.032177,,,51.346134,,,1.2727475,,,0.7692308,0.0011615751,,,,,21.794872,,,7.7097507,9.307406,1.9273301,9.525707,11.743662,,0.3670584,,,,,,,,,,,,,0.93537414,,2.0450206,31.632986,,,,,,7.328833,33.209393,,,9.498608,,,,,,4.29746,,2.179076,1.9527072,,,,,,0.057517,21.428572,0.58232933,,,,,4.230769,,,,6.6666665,52.10154,,,,,,,3.3913016,,2.314225,2.0974164,,,,0.69068724,2.2019207,,,2.171665,0.6097561,,,,10.348795,,,,9.090909,3.6215665,8.507644,,,,,,,
2005,5.8390694,,,,,0.5862565,1.4001681,30.050856,0.24584237,,51.12233,1.0256411,,1.2738854,,,0.7692308,,1.3705074,,,,20.958084,0.47150317,,9.678611,10.296071,2.0018928,10.026667,11.709642,0.068034925,0.43731952,,5.7719526,1.2290635,,0.09076223,,16.614616,,,,,2.5914285,,,1.2809142,32.869213,,,,17.732084,,7.8973346,33.503937,,,9.315961,,,0.008107156,,,4.3049116,,2.1764116,5.0548935,,25.806452,,,,,21.875,,,,,4.7995048,4.150579,,,,3.9473684,52.77353,,,0.44637245,,11.872726,,3.2961206,,0.32440057,2.0743694,0.4221159,,,0.76344573,2.4700477,,,1.3395157,0.39292732,1.5259902,,,10.312409,,,,,3.6237786,8.504961,,,,,,,
2006,6.0854654,,,,8.762241,0.6220346,,30.035744,,,52.618534,,,1.2391158,,1.9453944,0.0,0.0011626555,,,,,21.019108,,1.3843975,9.667896,9.658055,2.0276341,10.222999,11.603117,,0.39305648,,,,3.971406,0.1494546,,18.644283,,,,,,0.32520324,,1.3413669,33.816547,,,35.67217,,,8.251473,33.3241,,,9.308458,,,,,,3.879984,,2.1764116,5.067092,,,,,,,22.340425,,,,,,5.410628,24.635603,,,,52.94036,,8.333333,,,,,3.5374303,,0.6873709,2.0571911,,,,0.74204946,2.6707206,0.7356517,,1.2893244,0.610998,,,,10.103048,,,,,3.8037937,8.658287,,,1.150051,,,,
2007,5.9397583,17.426273,,,8.824704,0.48273465,1.5547154,30.055714,0.41700196,0.47053894,,1.426896,,,,,0.8064516,0.0008144586,,,6.953979,,20.244566,0.55606526,,9.538115,9.29189,2.193833,10.752833,11.848308,,0.5125866,,5.1759734,0.78313595,4.171633,0.08819578,0.6622418,18.676641,,,,,,0.3826955,,2.0817978,34.93208,,,30.013512,18.825026,,7.474307,33.202038,,,9.313424,13.122152,,0.037093364,,0.033713974,4.086115,,2.1764116,4.977507,7.3977695,30.107527,,,,,22.826086,,,0.17016125,0.3297415,10.551609,5.3294573,25.420067,4.431096,,,53.036404,1.4338202,8.227311,0.465447,8.349206,15.944079,,3.7874825,,2.3477623,2.0193722,,0.6853851,,,2.0140176,0.73217833,,1.2953368,0.8032129,1.7357173,,,10.045334,,,,,3.8857725,8.874826,,,1.0790378,5.54816,,3.1680505,
2008,5.778563,9.991532,,,8.906679,0.47548345,,30.052347,,,,,,0.5943703,,,,0.0057957573,,,,,21.107267,0.2799858,,9.52024,9.349053,2.0715098,10.18133,11.938739,,0.47625533,,,,4.017502,,,18.623482,2.2222223,0.08257639,,,,,,1.3823835,34.650112,17.47028,,,,,9.542417,32.4852,,,9.305317,,0.0338696,0.047902398,,,4.392782,,,5.4307966,,30.107527,,,,,23.076923,,,,,,,25.867052,,,0.7407407,54.625774,1.4354925,9.067444,,,,,3.6235251,,1.8849934,1.9708205,,,,,2.2626262,0.7253857,,1.3422819,0.6466632,,,,9.7568,,,,,4.0076914,8.96171,,,1.2266594,5.357924,,,
2009,4.842283,16.815117,,,8.9217205,0.45828703,,29.52515,,,,,,0.52649266,,,,0.0025464927,,,,,22.413794,0.31022006,2.2089305,9.643128,9.2480955,2.1371193,12.635379,11.465857,,0.441332,,,,,0.2436951,,18.227512,,,,,,0.38473377,5.3404393,1.8461007,35.34165,16.980179,,28.377344,,,9.24878,32.585533,,,9.395044,,0.03420265,0.04834511,,,4.5679374,,,5.479052,,30.107527,,,,,23.076923,,,0.19688456,,,,26.400967,,,3.2954545,55.050034,1.4339488,9.396694,,,,,,,2.173115,,,,,,2.553295,0.8823195,70.21144,1.0362694,0.63987714,,,,8.901352,,,,,4.1270814,9.010305,,0.98119974,1.1678143,,,,
2010,5.000396,17.023226,19.372929,,8.945245,0.48914373,0.95279217,29.476797,,,,1.7814727,,0.33715442,,,,0.0029001199,1.321208,2.359212,,,21.83406,0.5391723,,12.147753,9.030513,2.381254,12.563853,12.002178,0.031618886,0.5100468,0.65535146,5.4746027,0.3855086,,0.24192694,,18.320204,,,,,,1.0871195,,0.8403519,34.49238,16.901379,,32.58672,16.827427,7.2869687,9.617879,32.8084,0.582515,,9.404536,,0.03439381,0.054106697,,0.03933518,4.548107,,,5.809031,,33.881897,,,,,21.978022,,,,,7.3172035,4.334427,29.738245,,,3.5126235,55.72896,1.2001464,9.107438,0.31836113,,12.752554,,3.4142437,19.089575,0.58844304,,,,,,1.3822262,0.7099046,71.06003,0.76104283,0.6411695,2.049647,,,9.6419325,,,,,3.8951983,8.986979,,0.8966002,1.2332848,,,,1.5873507
2011,5.391006,17.010824,18.301159,,9.104293,0.49555564,,29.454569,,,,,,0.34478873,,,,0.0013499962,,,,0.94436854,21.410147,0.5707697,,,8.984078,2.3847733,12.76868,12.119641,,0.45312896,,,,,0.24374697,,18.658735,,,,,,,,1.8943226,35.39879,16.822079,,,,,9.605027,31.998373,,,9.422633,11.712767,0.038927335,,,,4.605731,,,6.384596,,33.881897,,,,,22.47191,,,,,,,,,,4.2663894,51.953472,0.89262044,9.265905,,,,,3.7186587,16.860466,0.7402375,,,,,,1.2887439,0.9636642,69.55,0.71513706,0.64452714,,,,10.053899,,,,,3.762907,9.185034,,0.89871854,1.3768415,,,,1.6612364
2012,5.4649997,17.039873,12.768782,,9.174094,0.5531213,,29.526247,,0.45681554,,,,0.34106413,,,,0.004249237,,,,,20.958084,0.56723267,,,9.604313,2.5192406,12.628382,13.005716,,,,,,,0.24290833,0.60982615,18.907043,,,,,,,,2.3379543,36.32948,16.742277,,,,,9.1587715,32.191643,,,9.439823,11.8696995,0.048133723,,,,4.748413,,,5.691858,,33.980583,,,,,21.83908,,,0.19621722,0.32572097,,1.9802579,,,,3.1380754,51.465492,0.9365291,,,10.670732,,,5.743272,,1.208039,,,0.6855723,,,1.6118475,1.5306417,72.991806,1.2867075,0.32690957,,,,10.257884,,,,9.259259,3.8399515,8.935871,,0.91047776,1.4047903,5.3407574,,,
2013,5.518333,17.287964,20.92778,,9.16221,0.6396342,1.9190841,29.651138,0.4264871,,58.992096,1.975976,,0.33979246,,,,0.004250058,,2.249969,,1.4517267,21.317652,0.5112184,2.189615,9.208524,9.672885,2.6296332,12.5781975,14.184609,0.031088082,,0.42063317,4.9475737,0.28364888,,2.9334652,,19.194744,,,,,,0.8549735,3.8684719,2.259844,36.785606,16.71454,,31.88545,19.082905,,9.786106,32.645134,,,9.500128,12.124317,0.053283602,0.055336516,,0.021843366,4.907046,,,5.823935,5.84127,36.168133,,,,,22.093023,,5.5091634,,,5.5098505,1.970333,,,4.7777386,3.6997886,49.44873,1.1056621,,0.5274115,,12.963714,,3.6532183,,1.3009709,,,,,,1.6825345,1.5181026,72.65625,0.97179675,0.32775602,1.7094411,,,9.410244,,,,,3.942472,9.306926,0.07339577,0.9680682,,,,,
2014,5.742548,12.756644,21.568628,,9.198548,0.63065034,,29.723043,,,59.36916,,,0.34439176,,,,0.009613905,,,,,21.28831,0.51194537,,,10.162402,2.7425334,16.639269,14.402889,,,0.39698294,,,,0.29091722,,20.23867,,,,,,,,1.8867781,37.899494,16.580494,,38.478706,,,9.868421,32.299793,0.7850114,,9.501662,11.435992,,,,,5.179024,9.844493,,5.9434114,,36.168133,,,,,19.767443,,5.476573,,,,,,6.2972293,4.8429356,3.5714285,51.27993,,,,,,,,,1.0484455,,,,,,1.7624774,1.2833675,72.562355,0.9579761,0.32528788,,,,,21.964727,,,,,9.145614,,0.74679,,,,,
2015,5.710894,13.454824,21.630095,,9.226457,0.61734635,,30.001259,,,59.46144,,,0.35221946,,,,,1.5598862,,,,19.971582,0.51516885,,5.543113,10.726559,2.9314196,15.667645,13.539857,,,0.35189584,,,,,,19.906437,,,,,,,,2.3613222,38.059273,16.580494,,38.733845,,,9.798353,,0.79635733,,9.50342,,,,,,5.3753786,9.831752,,,,36.168133,,0.039766185,,,19.302326,,5.157544,,,,,,,5.7719665,3.6717062,51.737473,,,,,,,,15.492958,1.2483764,,,,,,,1.5800058,75.86207,1.1172297,0.4866259,,,,,21.740866,,,,,9.314934,,0.7564807,,,14.3529825,,
2016,6.4811397,14.30143,21.83429,,9.231871,0.6266747,1.4306206,29.81144,,,59.71149,1.850229,,0.35510448,,,,,,2.1645868,,,21.477283,0.7167431,2.7120476,8.304445,10.8798485,3.047635,16.279913,13.75977,0.1994018,,0.35164836,,,,,,19.687092,,,,,,1.0155239,,1.8496782,37.47675,16.579622,,55.434784,19.926632,,10.000375,,0.8093244,,9.520828,,,0.07109246,,0.031071983,5.416356,9.832175,,,6.6746244,33.71869,11.010023,0.031436905,,,19.534883,,5.1569247,,,11.07438,3.425977,,,5.8871865,3.6598494,50.55444,,,0.92319465,,13.09909,,,15.492958,1.1315731,,,,,,1.8696977,1.244213,75.86207,1.1983033,0.50204057,1.6882274,,,7.214429,14.797651,,,,,10.091839,,0.79248464,1.5632339,,14.341748,,
2017,5.990504,14.562102,21.83429,,9.229759,0.60349023,,29.92988,,0.42019066,60.158936,,,0.35672238,0.7833421,2.9141293,,,,,,,20.042004,0.71002555,,8.20887,11.26922,3.1604125,17.280859,13.933547,,1.8400161,,,,,,0.5739963,20.436111,,,,,,,,1.9121252,38.3009,,,37.204967,,,8.58987,,0.82113206,,9.523629,18.604849,,,,,5.7091694,9.834722,,,,33.71869,12.479316,0.031727232,,,19.186047,,5.1569247,0.34087992,0.32317114,,,,,6.955587,,49.23925,,,,,13.741615,,,15.277778,1.5846913,,,0.6860319,0.45389932,,,1.4624159,75.0,1.2985631,0.5202914,,,,6.815358,14.605514,,,,,10.275524,,0.8990335,1.567894,5.4952865,14.632713,,
2018,5.1223364,14.990448,21.914865,1.199862,9.23508,0.6402987,,29.988493,,,60.38288,,,0.35845262,,,,,,,,,19.008373,0.7096225,,8.698956,11.558842,,15.895741,14.145419,,2.080705,,,0.41390508,,,,20.658354,,,,,,,,1.8287197,38.789387,16.992434,0.0026709402,34.07142,,,8.259933,,0.8176874,,9.680063,18.898827,,,,,5.586093,9.844491,,,,33.71869,12.630725,0.032177586,,,20.232557,,5.1569247,0.39246315,,13.998903,,,,6.498091,,50.415394,,,,,14.330759,,,14.864865,1.9904578,,,0.52146,1.2678472,,1.8650163,1.356813,73.809525,1.1593436,0.52287585,,,,6.9957595,14.64484,,,,,10.171419,,0.9654238,1.5714407,,14.632273,,
2019,6.0063143,15.247019,23.657787,,9.2546215,0.53934455,,30.014437,,1.1444095,82.76045,,,0.3612734,,3.460441,,,,,,,20.759062,0.70948976,,11.652859,11.513382,3.3449512,17.448404,14.726331,,,,,,,,,20.21513,,,,,,,,1.9154415,39.964256,16.966034,0.0026709402,33.599625,,,7.7240715,,0.8315952,,9.685197,19.487825,,,,,5.9587517,9.816059,,6.2805653,,33.71869,12.74327,0.04180037,,,18.139534,,5.1569247,0.44325614,,16.341919,,,,6.4364004,,50.532063,2.0306,,,,14.333058,,,16.216217,2.0757992,,,0.49405286,1.3761231,,2.1242788,1.3583815,75.0,1.0716181,0.5144705,,,,7.282846,14.712733,4.053952,,,,10.857461,,0.9876304,,,14.592668,,
2020,6.50693,15.614879,23.55567,,9.285203,0.42751738,,30.645802,,,83.55249,0.5411492,,0.36589783,,3.5660357,6.786567,,,3.2886572,,,21.040596,0.6243134,3.052124,9.007678,11.816338,,18.450184,14.767736,,0.4714485,,6.425357,,,,,21.546495,,,,,,1.1362126,,2.2749126,42.26564,16.951603,0.0026709402,39.84865,20.625689,,8.097181,,0.830916,,9.686723,19.973278,,0.20718363,,,,8.722027,,6.32399,,42.711308,13.20493,0.05351988,,,18.372093,,5.1569247,0.5721317,,,,,,7.3409963,,52.736347,1.8750747,,,,14.440361,,,17.567568,3.6247988,,,0.44455773,1.390494,,2.2915447,1.4933946,75.0,1.2426978,0.6486593,,,,7.279326,14.730629,4.094703,,,,11.699593,,1.0529883,,,14.531296,,
2021,6.3216143,16.544489,23.996231,,9.307866,0.5350477,,30.734636,,,84.34912,0.56164455,,0.3498899,,3.7070754,7.7492537,,,,8.406363,,21.450123,0.62380356,,9.014515,11.796872,,18.866545,14.899014,,,,,,,,,21.342749,,,,,,1.1585366,,2.190976,42.98215,16.937557,0.0026709402,37.36549,19.720985,,8.7585535,,0.83046424,,9.688311,19.950687,,,,,,8.667477,,6.246137,,44.46857,,0.039583854,,,17.790697,,5.1569247,0.577495,,,,,,7.3044972,,54.06231,1.8956904,,,,14.531657,,,17.567568,2.6378164,,,0.40929657,,,2.0102868,1.4921091,74.35897,1.3793104,0.76273406,,,,7.936532,14.740199,4.1256547,,,,11.979836,,1.0699329,,,14.524768,,
2022,5.828309,16.792885,23.996231,,9.431873,0.5350477,,30.73528,,,88.77692,0.54719234,,0.3212256,,3.878761,8.338059,,,,8.549163,,20.571714,0.62315476,,9.222561,11.304371,,23.410622,14.25645,,,,,,,,,22.255556,,,,,,1.1740332,,2.6226494,43.698547,16.937557,0.0026709402,36.045643,,,8.389262,,0.83046424,,9.474921,19.514559,,,,,,8.72211,,6.3121295,,44.46857,,0.071428575,,,16.627907,,5.1569247,0.61821365,,,,32.287354,,7.3044972,,54.02398,1.8084496,,,,14.81126,0.48318475,,17.567568,4.164695,,,0.43625143,,,2.0102868,1.5854713,,1.4007572,0.81215614,,,,7.217404,14.581515,4.142265,,,,12.126958,,0.24206628,,,14.476697,,
2023,5.9791164,18.16006,23.987518,,9.453489,0.5354532,,30.630178,,,89.04139,0.6163814,,0.31864575,,3.878761,8.235075,,,2.2920222,8.501022,,19.022484,0.6703799,,6.8676076,11.169797,,21.121496,15.115417,,,,,,,,,22.255556,,,,,,1.615074,,2.344716,44.414825,16.937557,0.003052503,36.10583,,,9.0625,,0.83046424,0.9645911,9.693167,19.28078,,,0.27556765,,,8.729508,,6.5807223,,33.86805,,0.047211222,,,15.705454,,5.1569247,0.61822164,,21.575153,,32.290806,,7.27715,,54.17419,1.8013064,,0.87105626,,14.7443285,0.48318475,,17.567568,4.0503345,,,0.43625143,,,2.0102868,1.4134276,,1.2767123,0.664267,,,,7.217404,14.647305,4.1585984,,,,12.467607,,0.23964562,,5.1010633,14.582519,,
