Date,ABW,AFG,AGO,AIA,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1970,,,7075.5996,,197.59529,,,,8.078758,,,,,,,,,,3.7687752,,,,,,,30.501036,,,,,,,,,,8.016432,,,256.4874,0.0,,,138.93954,,189.24823,,,,0.7141944,,,,,,,,,,,2.0110774,,195.29892,,,,,,,,,,,,,11406.3955,,216.39781,,,,,,,,,33.833755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.0767,,,,5.3949666,,118.75294,,,0.0,,,,,,,,,,,,,,,0.46093374,,,,,,,0.49970952,0.13040091,3568.492,,1478.8256,,,,,,,,,,,,,,,,,,50.967934,,,,,,,,,,,,,,,,,,,,,48.221558,,,,2.064633,208.25012,
1971,,,7005.208,,17.449703,,,,161.16591,,,,,,,,,,3.9817774,,,,,,,62.415443,2.04626,,,,,,,,,8.293152,,,210.04497,,,,,,606.9658,,,,0.712629,,,,,,,,,,,1.9615049,,193.00623,,,,,,,,,,6.8883095,,,13646.5205,,,,,,,,,,,2.1268425,,0.0,,,,,,,,,,,,,860.9127,,,,,,,,,,,,5.6804843,,,,,,,,,,,,,,,,,,714.3766,,,,5.261562,,115.2977,,,,,,,,,,,,,,,,,,0.4577176,,,,,,,0.29566136,0.12214942,3454.3489,,1415.3021,,,,,,,,,,,,,,,,,,36.771214,,,,,,,,,,,,,,,,,,,,,,,,,3.7049718,16.88228,
1972,,,6826.719,,100.468925,,,,135.81258,,,,,3566.3594,,,,,3.9627447,,,,,,,36.03427,1.9970684,,,,,,,,,8.683794,,,206.671,,,,,,187.09116,,,,0.71007806,,,,,,,,,,,1.8818836,,151.96797,,,,,,,,,,,,,13978.099,,64.072296,,,,,,,,,2.0242324,,0.0,,,,,,,,,,,,,824.10706,,,,,,,,,,,,,,,,,,,,,,,,,,,20.05042,,,740.83185,,,,5.128753,,124.31456,,,,,,,,,,,,,,,,,,0.42370325,,,,,,,0.4378374,0.11387238,3640.7063,,1025.3148,,,,,,,,,,,,,,,,,,38.52819,,,,,,,,,0.6505298,,,,,,,,,,,,,,,,3.3461168,16.413853,
1973,,,6676.8057,,89.15971,,,,,,,,,3651.5842,,,,,3.9421208,,,,,,,,,,,,,,,,,,,,198.73863,,,,,,,,,,0.6056804,,,,,,,,,,,1.11663,,153.48004,,,,,,,,,,,,,14169.682,,58.245415,,,,,,,,,1.6334467,,,,,,,,,,,,,,,519.3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.5183,,,,1.9984273,,411.3727,,,,,,,,,,,,,,,,,,0.30000052,,,,,,,0.4327272,0.08303444,3765.0933,,100.005196,,,,,,,,,,,,,,,,,,37.632523,,,,,,,,,,,,8.524586,,,,,,,,,,,,,3.869226,15.948305,
1974,,,7520.9785,,15.837313,,,,,,,,,3263.848,,,,,3.4551265,,,,,,,32.852295,,,,,,,,,128.97617,,,,177.61813,,,,,,17.068151,,,,0.5017083,,,,,,,,,,,0.5938618,,158.92871,,,,,,,,,,,,,14673.61,339.03247,,,,,,,,,19.99279,1.4348687,,,,,,,,,,,,,,,,,,,,,,,,,,,9.382303,,,,,,,,,,,,,,,,,,876.56104,,,,1.556014,,400.31604,,,,,,,,,,,,0.0,,,,,,0.20807038,,,,,,,0.33280146,0.0600334,3984.1448,,86.66692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0563395,23.020006,,105.11758,,,,,,,,,,,5.5224056,82.597694,
1975,,,7333.531,,15.479491,,,,,,,,,3738.5916,,,,,3.4391265,,,,,,,1.7518111,,,,,,,,,143.84016,,,,171.19077,6.7607727,,,,,,,,,0.4984654,,,,,,,,,,29890.451,0.39110765,,288.14822,,,,,,,,,,6446.2383,,,7066.356,31259.55,,,,,,,,,,1.3313485,,,,,,,,,,,,,0.6660908,,286.1105,,,,,1846.9325,,,,,,,25.542784,,,,,,,,,,,,,,,,,,364.2244,,,,574.0093,,450.60333,,,,,,,,,,,,,,,,,,0.17665556,,,,,,,0.3291319,0.052185804,3813.5933,,78.20941,,,,,,,2.5836523,,,,,,,,,,,,,,,,,,,,,,,21.40681,,19.84453,,,,,,,4.5393033,,,,5.2936945,15.0297985,241.36478
1976,,,7056.02,,,,,,,,,,,3923.118,,2.8310983,,,,,,,,,,1.1414446,,,,,,,,,24.634962,,,,186.5473,,,,,,,,,,,,,,,,,,,,54255.996,1.4097638,,324.8866,,,,,,,,,,10577.464,,,5329.9224,32023.684,,,,,,,,,,0.47286823,,,,,,,,,,,,,,,280.3591,,,,,2046.4083,,,,,,,,,,,,,,,,,,,,,,,,,5.8780575,,,,1.1022543,,994.95465,,,,,,,,,,,,,,,,,,0.145787,,,,,243.08757,,,0.044417895,3717.0547,,72.75361,,,,,,,1.1452615,,,,,,,,,,,,,,,,,,,,,,0.53775597,26.999405,,40.11904,,,,,,,8.388395,,,,8.258999,14.580527,496.5718
1977,,,7240.2544,,77.92401,,,,15.105569,,,,,3854.568,,,,,,,,,,,,,,,,,,,,,27.259052,,,,1093.4803,,,,,,,,,,,,,,,,,,,,64593.64,,,1975.8933,,,,,,,,,,62.485302,,,674.03973,43355.105,,,,,,,,,,,,,,,,,,,,,,,8.316686,,1353.2535,,,,,2531.9614,,,,,,,6.976928,,,,,,,,,,,,,,,,,,1.1735971,,,,18.699934,,1388.6532,,,,,,,,,,,,,,,202.84906,,,,,,,,,,,0.036753632,3473.228,,71.918015,,,,,,,1.3380728,,,,,,,,,,,,,,,,,,,,0.1636535,,1.7288141,64.72664,,,,,,,,,29.37399,,,,8.831463,,1186.4454
1978,,,8527.544,,75.43949,,,,13.940483,,,,,3613.845,,5.3787904,,,3.2903163,,,,,,,,,,,,,,,,28.014719,,,,606.41724,,,,,,,,,,,,,,,0.917113,,,0.11972768,,55003.082,,,2631.334,,,,,,,,,,,,,631.5579,32545.727,,,,,,,,,5.5529027,1.1256835,0.7044577,,,,4.391001,,,,,,,,0.53568584,,3168.284,,,,,3757.5435,,,,,,,12.055056,,,,,,,,,,,,,,,500.42264,,,1.2243075,,,,5.335504,,3775.031,,,,4700.8057,,,,,,,,,,,201.86378,,,0.14312616,,,,,,,0.2743727,0.03650192,3477.7363,,69.13028,,,,,,,1.8691989,,,,,,,,,,,,,,,,,,,,0.13747182,,1.668839,69.49193,,,,,,,,,247.1863,,,,13.778501,,2493.439
1979,,3661.5083,8321.177,,60.04342,,,,22.73831,,,,,3608.3933,,5.2376094,,,,,,,,,,,,,,,,,,,27.601952,,,,272.1466,,,,,,36.462864,,,,,,,,,,,,,25.586376,47619.5,,,4742.7974,,,,,,,,,,,,,609.8468,14293.474,,,,,,,,,59.917313,,0.6875932,,,,235.3768,,,,,,,,0.51744205,,1004.16364,,,,,3988.9126,,,,,,,11.711565,,,,,,,,,,,,,,,0.0,,,3.35485,,,,7.630106,,4214.6763,,,,524.5655,,,,,,,,,,,192.2785,,,,,,,,,,,,3401.8364,,66.339134,,,,,,,1.6516443,,,,,,,,,5.7723985,,221.95667,,,,,,,,,0.13479987,,3.2271867,682.2709,,,,,,,,,773.2655,,,,25.424177,17.756521,2973.1223
1980,,13173.968,5520.4985,,61.452995,,,0.1356581,10.716292,,,,,3872.7444,,,,,3.7135115,,,,,,,2.95195,0.004125159,,,,,,,,13.07723,0.0024410994,,,437.08423,0.32804972,,,,,17.287455,,,,3.8246672,,,,,,,,,33.752647,42593.43,0.013319992,,7458.9277,,,,,,,,,,,,,602.90796,13164.642,,,10.869226,,,,,,67.68197,7.133927,0.67136383,,,0.120474905,228.79642,,,,,,,,,,3708.6091,,,,,3196.7686,,,5.986494,,,,4.9767866,,,,,,,,,,,,,,,,,,1.0585539,,,,6.703345,,5667.183,,,,29.516628,,,,,,,,,,,187.32928,,,1.323907,,,,,,,3.484576,7.8089013,5354.678,,63.603134,,,,,2018.1144,,2.2573535,,,,,,,,,5.5818124,,4894.2954,,,,,,,,,,,1.563333,1689.5541,,0.8130202,,,,,,,660.9399,,,,82.15088,20.851854,2.2723064
1981,,32502.25,5418.224,,60.206142,,,0.13350217,10.6208105,,,,,4006.7744,,,,,3.0828767,,,,,,,1.6983367,0.0040302067,,,,,,,,16.140476,0.0024054819,,,432.61005,0.32089612,0.18717292,,,,27.463812,,,,3.7805464,,,,,,0.026013609,,0.011074877,93.4576,130017.49,0.013223068,,3861.5046,,,,,,,,,,,,,474.8135,5935.462,,,26.993994,,,,,,87.35567,6.9667296,0.098370306,,,1.9123912,475.4191,,,,,,,,,,2556.1013,,,,,2672.9932,,,6.2405286,,,,5.5245833,,,,,,,,,,,,,,,,,,44.69178,,,,1.0742029,,7508.252,,,,74.72324,,,,,,,,,,,182.51236,,,1.4066495,,,,,,,3.8342752,8.297005,5011.7275,,30.089014,,,,,6668.925,,0.56829077,,,,,,,,,5.4534535,,5181.637,,,,,,,,,,,15.163222,1303.3716,,0.80992156,,,,,,,581.613,,,,81.529625,20.055826,2.5337925
1982,,40833.945,5323.4517,,57.781944,,,3.5229933,23.17314,,,,,3765.329,,,,,2.8835135,,,,,,,4.4864726,0.0039393916,,,,,598.2355,,,20.953209,0.010260577,,,326.2558,0.31406558,0.36578673,,,,6.607698,,,,4.7965794,,,,,,0.025160583,,0.010774095,93.48468,122680.23,0.13141607,,3637.2424,,,,,,,,2.4517906,,0.95280343,,,584.1811,5586.1416,,,503.9882,,,,,,85.67602,6.831762,1.4097852,,,5.601717,720.29297,,,,,,,,,,2269.8328,,,,,2335.8691,412.12045,,6.953446,,,,,,,,,,,,,,,,,,,,,,170.83362,,,,3.5404053,,7440.254,,,,551.6544,,,,,,,,,,,177.5298,,,2.1389067,,,,,627.8047,,5.1710777,8.248974,5741.8687,,28.93981,,,,,5243.9404,,1.9654095,,,,,,,,,5.2755218,,358.97543,,,,,,,,,0.6339532,,2.4511518,1955.3993,,17.644154,,,,,,,591.4113,,,,89.924706,19.421757,
1983,,43164.88,3282.0708,,55.419247,,,0.14289926,10.433805,,,,,3671.6003,,,,,2.5410464,,,,,,,0.0,0.0038523746,,,,,,,,14.917506,0.0023322143,,,347.23978,0.30764055,,,,,9.258307,,,,4.0862093,,,,,,0.02432129,,0.012555873,79.77361,117354.195,1.5684943,,3582.1082,,,,,,,,15.027044,,,,,574.9797,,,,563.3695,,,,,,87.8829,5.7140226,0.77042866,,,12.116133,698.9023,,,,,,,,,,1616.6017,,,,,2401.664,881.09827,,7.3945284,,,,,,,,,,,,,,,,,,,,,,415.77545,,,,6.239624,,7239.3853,,,,666.235,,,,,,,,,,,191.5906,,,2.0807302,,,,,562.7695,,5.3919964,8.18927,5448.655,,162.22064,,,,,5196.1094,,0.629191,,,,,,,,,5.310549,,336.30325,,,,,,,,0.07088381,1.1146106,,2.3719304,2217.3281,,0.83646196,,,,,,,582.90936,,,,105.439,18.805696,39.51394
1984,,39477.777,3796.1384,,53.154156,,,0.14064184,10.327025,,,,,3712.7952,,,0.6433135,,2.0440972,,,,,,,,0.003769066,,,,,,,,12.713255,0.0022991817,,,312.4871,0.30007008,,,,,13.461321,,,,4.4255447,,,,,,0.023505112,,0.0121834,78.17192,112886.125,0.15609764,,3991.4934,,,,,,,,16.46898,,1.2773495,,,567.04486,,,,627.46686,,,,,,89.63234,4.06261,6.750336,,,10.972089,664.39685,,,,,0.18834598,,,,,1239.8046,,,,,2382.5369,953.45575,,7.7113895,,,,,,,,,,,,,,,,,,,,,,415.72098,,,,6.0004272,,7274.8867,,,,967.6415,,,,,,,,,,,186.12897,,,2.6933439,,,,,,,4.269104,8.12625,5846.9507,,921.18646,,,,,5064.607,,9.940271,,,,,,,,,5.1567464,,3594.4607,,,,,,,,0.08310192,2.097871,,2.2957828,2012.5785,,5.4954295,,,,,,,568.5624,,,,113.7705,,44.807278
1985,,40721.555,3245.6074,,52.441227,,,0.1681146,10.213351,,,,,3969.1755,,,1.1250092,,2.1208067,,,,,,,,0.0036896123,,,,,,,,15.255811,0.011700234,,,276.40652,0.29135874,0.20499876,,,,18.469604,,,,9.519521,,,,,,0.022718452,,0.013797188,76.611946,108715.7,0.15543512,,4390.6006,,,,,,,,23.38734,,,,,595.9628,,,,673.7845,,,,,,98.53223,4.1242948,7.0753508,,,177.97685,2560.0457,,,,,3.7785835,,,,,1117.1482,,,,,2655.1711,1030.0316,,8.387312,,,1.029326,,,,,,,,,,,,,,,,,,,575.74536,,,,5.9051175,,7012.151,,,,1420.4852,,,,,,,,,,,163.00507,,,4.448823,,,,,1812.9083,,9.736433,8.06718,5960.207,,908.551,,,,,3689.8052,,27.340797,,46.01128,,,,,,,24.459627,,4163.0024,0.14530237,,,,,,,0.08097268,1.5980392,,,2037.1841,,17.798878,,,,,,,553.0199,,,,108.754906,,48.92472
1986,,44608.145,3505.2363,,2.9148307,,,0.16876552,16.024975,,,,,4106.1147,,1.0694224,1.3367608,,1.7850224,,,,,,,,0.0036143784,,,,,8.731098,,,19.334457,0.014295878,,,299.45267,0.28293827,0.16734098,,,,6.6964393,,,,3.9885974,,,,,,,,0.015323822,9.592617,104844.445,,,3739.3655,,,,,,,,19.326582,,0.86946404,,,587.088,,,,654.2088,,,,2.247744,,81.062386,3.62474,6.663726,,,170.89943,2493.1028,,,,,0.17182745,,,,,872.5839,,,,,2371.2148,19.08875,,7.5670776,,,2.0023835,0.0,,,,,,,,,,,,,,,,,,1515.5928,,,,5.565052,,6804.629,,,,1780.3673,,,,,,,,,,,158.88405,,,2.942385,,,,,2945.5405,,4.516039,7.0617733,5693.7603,,654.36414,,,,,3440.6738,,45.04795,,,,,,,,,4.8532915,,3238.9185,0.14092621,,,,,,,0.07894425,1.6416312,,,1542.9174,,1.5496995,,,,,,,541.3157,,,,91.81737,,35.958492
1987,,48400.3,3731.55,,4.0967426,,,0.15019926,6.2490144,,,,,3561.6897,,1.0376701,0.59121835,,1.5373979,,,,,,,,,,,,,5.9944086,,,14.902085,0.0021893466,,,208.49931,,0.16393727,,,,8.088754,,,,3.7366226,,,,,,,,0.014904674,8.842192,101294.11,0.15443218,,3503.678,,,,,,,,27.405485,,0.84742904,,,539.4488,,,,647.26184,,,,,,78.81926,3.1407807,5.5788918,,,20.613804,2486.6335,,,,,0.1640617,,,,,740.91516,,,,,1993.4688,,,6.0536456,,,1.3759239,,,,,,,,,,,,,,,,,,,4952.204,,,,5.42615,,6483.9565,,,0.005580873,1765.5083,,,,,,,,,,,154.7522,,,3.9160287,,,,,106.832825,,8.309303,5.9412627,5236.5405,,1222.7345,,,,,3291.2495,,832.311,,,,,,,,,0.17560934,,2700.434,0.13670498,,,,,,,0.07702192,2.053226,,8.3228,696.1881,,1.2787322,,,,,,,528.8932,,,,70.058044,,41.250885
1988,,48796.633,3752.461,,11.142498,,,0.1447427,8.94155,,,,,3544.105,,1.0065744,,0.004663483,9.993633,,,,,,,,,,,,,6.2638936,,,4.6771297,0.023761613,,,301.1306,,0.11242982,,,,37.133636,,,1.4355853,54.815666,,,,,,0.02073868,,0.02536798,6.86181,97969.36,,,3427.5842,,,,,,,,32.582756,,0.82554907,,,530.64276,,0.05895643,9.153504,630.0087,,,,,,71.43346,37.229897,5.2591085,0.0012086886,,105.785645,3007.1165,,0.11608136,,,0.21922654,,,,,1435.0826,,,,,3336.0933,12.707521,1.2260201,15.550679,,,21.071455,,,,,,0.021276118,,,,,,,,,,0.01813428,,,7196.8516,,,,0.05712154,,6331.4043,,,0.016300788,2179.1565,,,,,,,,0.25201255,1.9975723,0.023747662,150.65521,,,61.52119,,,,,253.5767,,88.74255,22.825037,4700.581,,1643.0217,0.06859066,0.28079605,,0.20332864,3202.4348,,4864.8984,,,,,,,,67.83979,7.4773374,,2324.9072,0.13263471,,,,,,,0.08778038,0.27824342,,0.02018596,133.42049,,1.0756344,,,,,,,700.758,,,,64.72344,,6.5636387
1989,,47531.977,3636.5151,,11.256394,,,0.31917244,,,,,,3498.7444,,1.1714954,,0.004568972,9.724289,,,,,,,0.37239835,0.00409548,,,,0.39361432,11.135149,,,9.088147,0.036420044,,0.54531825,284.00934,,0.2045551,1.1544411,,,72.91198,,,1.4149202,56.183,,,,,,0.020198358,,0.022923388,2.1640437,96121.01,,,3214.754,,,,,,,,31.425724,,0.8043996,,,522.1384,,0.058719672,5.0437293,517.4947,,,,0.10326646,,49.800945,41.899677,4.314611,0.0015365712,,93.110085,2925.4194,,0.11411586,,,0.4179556,,,,,1070.5492,,,,,3185.323,62.321148,1.9858102,15.035942,,,47.33958,0.2816208,,,,,0.020886058,,,,,,,,,,,,,8683.426,2534.656,,,0.05448865,,287.36435,,,0.015867807,2402.5183,,,,,,,,0.36408424,15.184159,0.120747216,146.90218,,,60.814877,,,,,391.1721,,200.88568,46.193108,4446.9443,,2034.0089,200.02098,0.17014581,,0.19831246,746.97437,,5064.198,,,1616.2482,,,,,66.99297,3.2596905,,2162.7476,0.1287527,,,,,,,0.085872024,5.0275826,,0.039310094,125.55624,,6.5775533,,,,,,,712.32245,,,,43.239002,,0.05068528
1990,,52625.535,3507.2024,,55.583267,,,1.0135577,,,,,,3429.6985,,,,0.42729023,21.78554,7.5757723,,,,,,10.224199,0.010057447,,,,0.38293666,3.4819973,,,108.259315,0.123614885,,0.88247025,183.7937,,1.5197257,1.1246039,,,127.16572,,,1.3953105,59.435123,,0.86274725,,,,0.070933685,0.04773874,0.08562139,2.115362,91894.875,,,2827.0002,,,,,,,,30.46513,,0.0,,0.47406712,513.6195,,0.15596831,5.0013504,531.73627,,,,0.36141,,30.520346,55.551918,3.9062436,0.022775298,,129.99121,6448.9595,,0.30803114,,,1.5461434,,,0.030577494,,737.1636,,,,2.7302408,3145.53,194.5107,33084.406,13.02516,,,1273.6371,0.2762892,0.13531741,,,,0.05743458,,,,,,,,,,0.06027538,,,9530.625,3381.0974,,,0.576166,,38.85171,,,0.015444663,1264.052,,,,,,,,0.4175434,25.615046,1.1583132,0.01750069,,,67.35435,,,,0.47079206,398.35162,,223.55296,79.028305,4899.006,,2379.4763,777.22705,,,0.19061989,555.9354,,6638.2354,,,1604.8485,,,,,78.37838,17.075792,,3088.9019,0.12503882,0.032883722,,,,,,0.48050883,9.832971,,0.038299195,334.7772,,27.15497,,,,,,,757.2436,,,0.03600266,36.27571,,0.049322862
